transaction_date,disclosure_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,party,state,industry,sector
03/23/2023,03/23/2023,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/83de647b-ddf0-49c3-bd56-8b32f23c0e78/,,,,
03/22/2023,03/22/2023,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/5b864c4e-fadf-49af-bdb0-e4cb3db38d21/,,,,
02/10/2023,03/16/2023,Joint,SCHW,Charles Schwab Corporation (The) Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,Investment Bankers/Brokers/Service,Finance
02/21/2023,03/16/2023,Joint,CHD,"Church &amp; Dwight Company, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,Package Goods/Cosmetics,Basic Industries
02/10/2023,03/16/2023,Joint,CHD,"Church &amp; Dwight Company, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,Package Goods/Cosmetics,Basic Industries
02/10/2023,03/16/2023,Joint,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,"Computer Software: Programming, Data Processing",Technology
03/14/2023,03/14/2023,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/4e5c9e79-cdd5-4fd7-92f1-889fb8c69e11/,,,,
03/13/2023,03/13/2023,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/5cffa7e6-cede-4e66-a9dd-ab13a2b78b1c/,,,,
03/06/2023,03/06/2023,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,John Boozman,https://efdsearch.senate.gov/search/view/paper/7dfcd5fd-ae2e-4a52-8f54-bcfe1c4599ef/,,,,
02/21/2023,03/01/2023,Spouse,QCOM,QUALCOMM Incorporated - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Radio And Television Broadcasting And Communications Equipment,Technology
02/21/2023,03/01/2023,Spouse,SBUX,Starbucks Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Restaurants,Consumer Services
02/21/2023,03/01/2023,Spouse,VFH,Vanguard Financials ETF,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,,
02/21/2023,03/01/2023,Spouse,SQM,Sociedad Quimica y Minera S.A. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,,
02/21/2023,03/01/2023,Spouse,WM,"Waste Management, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Environmental Services,Public Utilities
