"word","frequency"
"you",7.61
"i",7.56
"the",7.48
"to",7.35
"a",7.28
"it",7.28
"and",7.13
"that",7.12
"of",7.05
"is",7.03
"what",7
"in",6.99
"me",6.97
"we",6.95
"this",6.89
"he",6.85
"for",6.84
"my",6.83
"have",6.82
"do",6.81
"your",6.81
"are",6.81
"on",6.8
"not",6.79
"no",6.78
"don't",6.77
"was",6.75
"be",6.74
"can",6.73
"know",6.71
"with",6.71
"but",6.67
"all",6.66
"here",6.65
"so",6.65
"they",6.63
"just",6.62
"there",6.62
"go",6.62
"like",6.6
"get",6.59
"she",6.57
"up",6.54
"if",6.53
"come",6.53
"right",6.51
"one",6.5
"about",6.5
"at",6.5
"him",6.5
"out",6.5
"how",6.48
"now",6.47
"want",6.46
"will",6.46
"her",6.44
"see",6.4
"good",6.4
"why",6.39
"let",6.39
"got",6.39
"who",6.38
"think",6.38
"did",6.37
"well",6.36
"oh",6.36
"yeah",6.36
"yes",6.36
"from",6.35
"as",6.35
"his",6.31
"when",6.31
"going",6.31
"time",6.3
"where",6.28
"take",6.28
"look",6.27
"back",6.27
"them",6.26
"okay",6.26
"us",6.26
"an",6.26
"then",6.25
"or",6.24
"man",6.22
"were",6.22
"some",6.21
"would",6.21
"had",6.21
"say",6.21
"tell",6.2
"really",6.2
"our",6.19
"hey",6.19
"been",6.18
"isn",6.17
"too",6.17
"something",6.16
"by",6.15
"didn't",6.14
"has",6.14
"more",6.13
"could",6.13
"need",6.12
"down",6.12
"gonna",6.12
"am",6.12
"way",6.11
"make",6.11
"very",6.11
"never",6.1
"love",6.1
"give",6.09
"only",6.09
"people",6.09
"please",6.09
"sorry",6.07
"said",6.06
"because",6.06
"over",6.06
"should",6.06
"off",6.04
"little",6.04
"ain",6.04
"two",6.02
"doing",6.01
"much",6
"mean",6
"even",6
"thank",5.99
"any",5.98
"god",5.97
"stop",5.96
"help",5.96
"sure",5.96
"these",5.96
"nothing",5.95
"life",5.95
"day",5.95
"first",5.95
"work",5.94
"thing",5.94
"call",5.93
"anything",5.92
"still",5.92
"again",5.92
"wait",5.91
"won",5.91
"find",5.9
"must",5.9
"home",5.9
"their",5.9
"away",5.89
"great",5.89
"talk",5.88
"after",5.88
"other",5.88
"into",5.88
"money",5.88
"everything",5.88
"sir",5.88
"leave",5.87
"always",5.86
"ok",5.86
"put",5.86
"before",5.86
"night",5.85
"maybe",5.85
"does",5.84
"things",5.84
"new",5.84
"better",5.84
"told",5.84
"years",5.84
"than",5.84
"thought",5.84
"long",5.83
"those",5.83
"hello",5.83
"last",5.82
"name",5.82
"father",5.82
"keep",5.81
"shit",5.8
"around",5.79
"old",5.79
"thanks",5.79
"nice",5.78
"feel",5.78
"place",5.78
"big",5.78
"girl",5.78
"fuck",5.78
"dad",5.77
"guy",5.76
"mother",5.75
"believe",5.75
"fine",5.75
"ever",5.75
"stay",5.74
"today",5.74
"made",5.74
"world",5.74
"which",5.73
"house",5.73
"someone",5.73
"isn't",5.73
"coming",5.73
"wrong",5.73
"listen",5.73
"bad",5.73
"hi",5.72
"fucking",5.72
"left",5.72
"done",5.72
"wanted",5.72
"understand",5.72
