transaction_date,disclosure_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,party,state,industry,sector
02/10/2023,03/16/2023,Joint,SCHW,Charles Schwab Corporation (The) Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,Investment Bankers/Brokers/Service,Finance
02/21/2023,03/16/2023,Joint,CHD,"Church &amp; Dwight Company, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,Package Goods/Cosmetics,Basic Industries
02/10/2023,03/16/2023,Joint,CHD,"Church &amp; Dwight Company, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,Package Goods/Cosmetics,Basic Industries
02/10/2023,03/16/2023,Joint,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/58a2554f-5865-4c99-93dc-3be5490ae475/,Republican,AK,"Computer Software: Programming, Data Processing",Technology
02/21/2023,03/01/2023,Spouse,QCOM,QUALCOMM Incorporated - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Radio And Television Broadcasting And Communications Equipment,Technology
02/21/2023,03/01/2023,Spouse,SBUX,Starbucks Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Restaurants,Consumer Services
02/21/2023,03/01/2023,Spouse,SQM,Sociedad Quimica y Minera S.A. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,,
02/21/2023,03/01/2023,Spouse,WM,"Waste Management, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Environmental Services,Public Utilities
02/21/2023,03/01/2023,Spouse,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Semiconductors,Technology
02/21/2023,03/01/2023,Spouse,AGX,"Argan, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Oilfield Services/Equipment,Industrials
02/21/2023,03/01/2023,Spouse,HASI,Hannon Armstrong Sustainable Infrastructure Capita,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Real Estate Investment Trusts,Consumer Services
02/21/2023,03/01/2023,Spouse,MOS,Mosaic Company (The) Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Agricultural Chemicals,Basic Industries
02/21/2023,03/01/2023,Spouse,FPI,Farmland Partners Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,,
02/21/2023,03/01/2023,Spouse,BSM,"Black Stone Minerals, L.P. Common units representi",Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Oil & Gas Production,Energy
02/21/2023,03/01/2023,Spouse,RTX,Raytheon Technologies Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Aerospace,Capital Goods
02/21/2023,03/01/2023,Spouse,IRM,Iron Mountain Incorporated (Delaware)Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Real Estate Investment Trusts,Consumer Services
02/21/2023,03/01/2023,Spouse,APO,"Apollo Global Management, Inc. Class A Common Stoc",Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Investment Managers,Finance
02/15/2023,03/01/2023,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d6484f32-d001-408c-82a9-4d6d6ec8f43c/,Democrat,DE,Finance Companies,Finance
01/23/2023,02/14/2023,Joint,GOLD,Barrick Gold Corporation Common Stock (BC),Stock,Purchase,"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Precious Metals,Basic Industries
01/18/2023,02/14/2023,Joint,CLF,Cleveland-Cliffs Inc. Common Stock,Stock,Purchase,"$100,001 - $250,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Precious Metals,Basic Industries
01/13/2023,02/14/2023,Joint,UAA,"Under Armour, Inc. Class A Common Stock",Stock,Purchase,"$15,001 - $50,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Apparel,Consumer Non-Durables
01/05/2023,02/14/2023,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$15,001 - $50,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Steel/Iron Ore,Industrials
01/05/2023,02/14/2023,Joint,X,United States Steel Corporation Common Stock,Stock,Sale (Partial),"$50,001 - $100,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/9e661d3e-df11-49a3-b66d-3dc83761229d/,Republican,AL,Steel/Iron Ore,Industrials
01/10/2023,02/13/2023,Joint,ULTA,"Ulta Beauty, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,,
01/10/2023,02/13/2023,Joint,PXD,Pioneer Natural Resources Company Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Oil & Gas Production,Energy
01/10/2023,02/13/2023,Joint,JPM,JP Morgan Chase &amp; Co. Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Major Banks,Finance
01/10/2023,02/13/2023,Joint,CVS,CVS Health Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Medical/Nursing Services,Health Care
