transaction_date,disclosure_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,party,state,industry,sector
01/10/2023,02/13/2023,Joint,BMY,Bristol-Myers Squibb Company Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Major Pharmaceuticals,Health Care
01/10/2023,02/13/2023,Joint,BKNG,Booking Holdings Inc. - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Transportation Services,Consumer Services
01/10/2023,02/13/2023,Joint,ZTS,Zoetis Inc. Class A Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Major Pharmaceuticals,Health Care
01/10/2023,02/13/2023,Joint,AMZN,"Amazon.com, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Catalog/Specialty Distribution,Consumer Services
01/10/2023,02/13/2023,Joint,ALGN,"Align Technology, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/65b4f90c-0769-455b-a1d9-6b88b2380ff3/,Republican,AK,Industrial Specialties,Health Care
01/18/2023,02/02/2023,Spouse,RIO,Rio Tinto Plc,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Precious Metals,Basic Industries
01/18/2023,02/02/2023,Spouse,FPI,Farmland Partners Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,,
01/12/2023,02/02/2023,Spouse,AQN,Algonquin Power and Utilities Corp,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,,
01/04/2023,02/02/2023,Spouse,MAXR,Maxar Technologies Inc,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,,
01/04/2023,02/02/2023,Spouse,MGM,MGM Resorts International Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Hotels/Resorts,Consumer Discretionary
01/11/2023,02/02/2023,Spouse,AMT,American Tower Corporation (REIT) Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Real Estate Investment Trusts,Consumer Services
01/11/2023,02/02/2023,Spouse,ATKR,Atkore Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Electrical Products,Technology
01/11/2023,02/02/2023,Spouse,HOLX,"Hologic, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Medical Electronics,Health Care
01/11/2023,02/02/2023,Spouse,BHP,BHP Group Limited American Depositary Shares (Each,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Precious Metals,Basic Industries
01/11/2023,02/02/2023,Spouse,RMD,ResMed Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Medical/Dental Instruments,Health Care
01/11/2023,02/02/2023,Spouse,CVS,CVS Health Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Medical/Nursing Services,Health Care
01/11/2023,02/02/2023,Spouse,TU,Telus Corporation Ordinary Shares,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,,
01/11/2023,02/02/2023,Spouse,DLR,"Digital Realty Trust, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Real Estate Investment Trusts,Consumer Services
01/11/2023,02/02/2023,Spouse,AXS,Axis Capital Holdings Limited Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Property-Casualty Insurers,Finance
01/11/2023,02/02/2023,Spouse,CME,CME Group Inc. - Class A Common Stock,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Investment Bankers/Brokers/Service,Finance
01/11/2023,02/02/2023,Spouse,SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada),Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,,
01/11/2023,02/02/2023,Spouse,BSM,"Black Stone Minerals, L.P. Common units representi",Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Oil & Gas Production,Energy
01/11/2023,02/02/2023,Spouse,FLNG,FLEX LNG Ltd. Ordinary Shares,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,,
01/11/2023,02/02/2023,Spouse,EQNR,Equinor ASA,Stock,Purchase,"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Integrated oil Companies,Energy
01/11/2023,02/02/2023,Spouse,MCD,McDonald's Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/d8492435-8553-415f-b62f-05a5265f41ef/,Democrat,DE,Restaurants,Consumer Services
12/28/2022,01/13/2023,Self,RNWK,"RealNetworks, Inc. - Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,Maria Cantwell,https://efdsearch.senate.gov/search/view/ptr/5d41d5a8-eb5b-4092-aae1-99a26f4932f2/,Democrat,WA,Computer Software: Prepackaged Software,Technology
12/23/2022,01/13/2023,Joint,GOLD,Barrick Gold Corporation Common Stock (BC),Stock,Purchase,"$15,001 - $50,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Precious Metals,Basic Industries
12/19/2022,01/13/2023,Joint,NU,Nu Holdings Ltd. Class A Ordinary Shares,Stock,Purchase,"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Finance: Consumer Services,Finance
12/15/2022,01/13/2023,Joint,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Partial),"$15,001 - $50,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Services-Misc. Amusement & Recreation,Consumer Services
12/09/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$15,001 - $50,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$50,001 - $100,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Partial),"$100,001 - $250,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/08/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Purchase,"$15,001 - $50,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/06/2022,01/13/2023,Joint,GOLD,Barrick Gold Corporation Common Stock (BC),Stock,Purchase,"$50,001 - $100,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Precious Metals,Basic Industries
12/05/2022,01/13/2023,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Purchase,"$250,001 - $500,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Business Services,Miscellaneous
12/02/2022,01/13/2023,Joint,QCOM,QUALCOMM Incorporated - Common Stock,Stock,Sale (Partial),"$50,001 - $100,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Radio And Television Broadcasting And Communications Equipment,Technology
12/01/2022,01/13/2023,Joint,QCOM,QUALCOMM Incorporated - Common Stock,Stock,Purchase,"$100,001 - $250,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Radio And Television Broadcasting And Communications Equipment,Technology
12/01/2022,01/13/2023,Joint,GOLD,Barrick Gold Corporation Common Stock (BC),Stock,Purchase,"$1,001 - $15,000",--,Tommy Tuberville,https://efdsearch.senate.gov/search/view/ptr/6f6c5dfb-d731-4c2c-895b-2c842918bf3e/,Republican,AL,Precious Metals,Basic Industries
01/03/2023,01/11/2023,Self,GE,General Electric Company Common Stock (Exchanged) <br> GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,"$1,001 - $15,000",Underlying asset of IRA Rollover #1,Jacky Rosen,https://efdsearch.senate.gov/search/view/ptr/63e282d7-c362-49de-8c60-4e7389ab2d19/,Democrat,NV,Consumer Electronics/Appliances,Energy
01/03/2023,01/11/2023,Joint,GE,General Electric Company Common Stock (Exchanged) <br> GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,"$1,001 - $15,000",Underlying asset of Brokerage #7,Jacky Rosen,https://efdsearch.senate.gov/search/view/ptr/63e282d7-c362-49de-8c60-4e7389ab2d19/,Democrat,NV,Consumer Electronics/Appliances,Energy
01/03/2023,01/11/2023,Joint,GE,General Electric Company Common Stock (Exchanged) <br> GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,"$1,001 - $15,000",Underlying asset of Brokerage #3,Jacky Rosen,https://efdsearch.senate.gov/search/view/ptr/63e282d7-c362-49de-8c60-4e7389ab2d19/,Democrat,NV,Consumer Electronics/Appliances,Energy
01/03/2023,01/11/2023,Joint,GE,General Electric Company Common Stock (Exchanged) <br> GE HealthCare Technologies Inc. - Common Stock (Received),Stock,Exchange,"$1,001 - $15,000",Underlying asset of Brokerage #5,Jacky Rosen,https://efdsearch.senate.gov/search/view/ptr/63e282d7-c362-49de-8c60-4e7389ab2d19/,Democrat,NV,Consumer Electronics/Appliances,Energy
11/29/2022,12/30/2022,Spouse,C,"Citigroup, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/53ddfdc6-dc9a-4945-af41-20de2224ae1c/,Democrat,RI,Major Banks,Finance
11/29/2022,12/30/2022,Self,C,"Citigroup, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/53ddfdc6-dc9a-4945-af41-20de2224ae1c/,Democrat,RI,Major Banks,Finance
12/14/2022,12/22/2022,Spouse,FWONK,Liberty Media Corporation - Series C Liberty Formu,Stock,Purchase,"$50,001 - $100,000",Exercised stock option,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/0acee755-ed8e-4a93-8785-9946d8c49e03/,Democrat,CO,Movies/Entertainment,Consumer Discretionary
12/05/2022,12/22/2022,Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Sale (Partial),"$250,001 - $500,000",--,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/0acee755-ed8e-4a93-8785-9946d8c49e03/,Democrat,CO,Broadcasting,Consumer Services
12/05/2022,12/22/2022,Spouse,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,Stock,Purchase,"$100,001 - $250,000",Exercised stock option,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/0acee755-ed8e-4a93-8785-9946d8c49e03/,Democrat,CO,Broadcasting,Consumer Services
11/29/2022,12/22/2022,Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Sale (Partial),"$50,001 - $100,000",--,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/0acee755-ed8e-4a93-8785-9946d8c49e03/,Democrat,CO,Television Services,Consumer Services
11/29/2022,12/22/2022,Spouse,LBRDK,Liberty Broadband Corporation - Class C Common Sto,Stock,Purchase,"$50,001 - $100,000",Exercised stock option,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/0acee755-ed8e-4a93-8785-9946d8c49e03/,Democrat,CO,Television Services,Consumer Services
11/30/2022,12/21/2022,Joint,SYK,Stryker Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Medical/Dental Instruments,Health Care
11/30/2022,12/21/2022,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Business Services,Miscellaneous
11/30/2022,12/21/2022,Joint,META,"Meta Platforms, Inc. - Class A Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Internet and Information Services,Technology
11/30/2022,12/21/2022,Joint,MDT,Medtronic plc. Ordinary Shares,Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
11/30/2022,12/21/2022,Joint,MLM,"Martin Marietta Materials, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Building Materials,Industrials
11/30/2022,12/21/2022,Joint,FFIV,"F5, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,EDP Services,Technology
11/30/2022,12/21/2022,Joint,ELAN,Elanco Animal Health Incorporated Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Biotechnology: Pharmaceutical Preparations,Health Care
11/30/2022,12/21/2022,Joint,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Television Services,Consumer Services
11/30/2022,12/21/2022,Joint,BAX,Baxter International Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,Medical/Dental Instruments,Health Care
11/30/2022,12/21/2022,Joint,GOOG,Alphabet Inc. - Class C Capital Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Dan Sullivan,https://efdsearch.senate.gov/search/view/ptr/91384996-f2d2-4cb1-b261-43afd6b8c465/,Republican,AK,"Computer Software: Programming, Data Processing",Technology
