to_country,from_country,requirement
Afghanistan,Albania,eVisaApply now
Afghanistan,Algeria,visa required
Afghanistan,Andorra,visa required
Afghanistan,Angola,visa required
Afghanistan,Antigua and Barbuda,eVisaApply now
Afghanistan,Argentina,visa required
Afghanistan,Armenia,visa required
Afghanistan,Australia,eVisaApply now
Afghanistan,Austria,visa required
Afghanistan,Azerbaijan,visa required
Afghanistan,Bahamas,eVisaApply now
Afghanistan,Bahrain,eVisaApply now
Afghanistan,Bangladesh,visa on arrival/30 days
Afghanistan,Barbados,visa required
Afghanistan,Belarus,visa required
Afghanistan,Belgium,visa required
Afghanistan,Belize,visa required
Afghanistan,Benin,eVisaApply now
Afghanistan,Bhutan,eVisaApply now
Afghanistan,Bolivia,visa on arrival / eVisa/90 daysApply now
Afghanistan,Bosnia and Herzegovina,visa required
Afghanistan,Botswana,eVisaApply now
Afghanistan,Brazil,visa required
Afghanistan,Brunei,visa required
Afghanistan,Bulgaria,visa required
Afghanistan,Burkina Faso,eVisaApply now
Afghanistan,Burundi,visa on arrival/30 days
Afghanistan,Cambodia,visa on arrival / eVisa/30 daysApply now
Afghanistan,Cameroon,eVisaApply now
Afghanistan,Canada,visa required
Afghanistan,Cape Verde,visa on arrival (EASE)Apply now
Afghanistan,Central African Republic,visa required
Afghanistan,Chad,visa required
Afghanistan,Chile,visa required
Afghanistan,China,visa required
Afghanistan,Colombia,eVisaApply now
Afghanistan,Comoros,visa on arrival/45 days
Afghanistan,Congo,visa required
Afghanistan,Congo (Dem. Rep.),eVisa/90 daysApply now
Afghanistan,Costa Rica,visa required
Afghanistan,Cote d'Ivoire (Ivory Coast),pre-enrollment/90 daysApply now
Afghanistan,Croatia,visa required
Afghanistan,Cuba,visa required
Afghanistan,Cyprus,visa required
Afghanistan,Czech Republic,visa required
Afghanistan,Denmark,visa required
Afghanistan,Djibouti,eVisaApply now
Afghanistan,Dominica,visa-free/21 days
Afghanistan,Dominican Republic,visa required
Afghanistan,Ecuador,eVisaApply now
Afghanistan,Egypt,visa required
Afghanistan,El Salvador,eVisaApply now
Afghanistan,Equatorial Guinea,eVisaApply now
Afghanistan,Eritrea,visa required
Afghanistan,Estonia,visa required
Afghanistan,Eswatini,visa required
Afghanistan,Ethiopia,eVisa/90 daysApply now
Afghanistan,Fiji,visa required
Afghanistan,Finland,visa required
Afghanistan,France,visa required
Afghanistan,Gabon,eVisa/90 daysApply now
Afghanistan,Gambia,visa required
Afghanistan,Georgia,eVisaApply now
Afghanistan,Germany,visa required
Afghanistan,Ghana,visa on arrival
Afghanistan,Greece,visa required
Afghanistan,Grenada,visa required
Afghanistan,Guatemala,visa required
Afghanistan,Guinea,eVisa/90 daysApply now
Afghanistan,Guinea-Bissau,visa on arrival/90 days
Afghanistan,Guyana,visa required
Afghanistan,Haiti,visa-free/90 days
Afghanistan,Honduras,visa required
Afghanistan,Hong Kong,visa required
Afghanistan,Hungary,visa required
Afghanistan,Iceland,visa required
Afghanistan,India,eVisa/30 daysApply now
Afghanistan,Indonesia,visa required
Afghanistan,Iran,visa required
Afghanistan,Iraq,visa required
Afghanistan,Ireland,visa required
Afghanistan,Israel,visa required
Afghanistan,Italy,visa required
Afghanistan,Jamaica,visa required
Afghanistan,Japan,visa required
Afghanistan,Jordan,visa required
Afghanistan,Kazakhstan,visa required
Afghanistan,Kenya,eVisaApply now
Afghanistan,Kiribati,visa required
Afghanistan,Kosovo,visa required
Afghanistan,Kuwait,visa required
Afghanistan,Kyrgyzstan,eVisaApply now
Afghanistan,Laos,visa required
Afghanistan,Latvia,visa required
Afghanistan,Lebanon,visa required
Afghanistan,Lesotho,eVisa/14 days
Afghanistan,Liberia,visa required
Afghanistan,Libya,visa required
Afghanistan,Liechtenstein,visa required
Afghanistan,Lithuania,visa required
Afghanistan,Luxembourg,visa required
Afghanistan,Macao,visa on arrival/30 days
Afghanistan,Madagascar,visa on arrival/90 days
Afghanistan,Malawi,eVisa/90 daysApply now
Afghanistan,Malaysia,eVisa/30 daysApply now
Afghanistan,Maldives,visa on arrival/30 days
Afghanistan,Mali,visa required
Afghanistan,Malta,visa required
Afghanistan,Marshall Islands,visa required
Afghanistan,Mauritania,visa on arrival
Afghanistan,Mauritius,visa required
Afghanistan,Mexico,visa required
Afghanistan,Micronesia,visa-free/30 days
Afghanistan,Moldova,eVisaApply now
Afghanistan,Monaco,visa required
Afghanistan,Mongolia,visa required
Afghanistan,Montenegro,visa required
Afghanistan,Morocco,visa required
Afghanistan,Mozambique,visa on arrival / eVisa/30 daysApply now
Afghanistan,Myanmar,visa required
Afghanistan,Namibia,visa required
Afghanistan,Nauru,visa required
Afghanistan,Nepal,visa required
Afghanistan,Netherlands,visa required
Afghanistan,New Zealand,visa required
Afghanistan,Nicaragua,visa required
Afghanistan,Niger,visa required
Afghanistan,Nigeria,eVisaApply now
Afghanistan,North Korea,visa required
Afghanistan,North Macedonia,visa required
Afghanistan,Norway,visa required
Afghanistan,Oman,eVisaApply now
Afghanistan,Pakistan,eVisaApply now
Afghanistan,Palau,visa on arrival/30 days
Afghanistan,Palestinian Territories,visa required
Afghanistan,Panama,visa required
Afghanistan,Papua New Guinea,visa required
Afghanistan,Paraguay,visa required
Afghanistan,Peru,visa required
Afghanistan,Philippines,visa required
Afghanistan,Poland,visa required
Afghanistan,Portugal,visa required
Afghanistan,Qatar,visa required
Afghanistan,Romania,visa required
Afghanistan,Russian Federation,visa required
Afghanistan,Rwanda,visa on arrival / eVisa/30 daysApply now
Afghanistan,Saint Kitts and Nevis,eVisaApply now
Afghanistan,Saint Lucia,visa required
Afghanistan,Samoa,visa on arrival/90 days
Afghanistan,San Marino,visa required
Afghanistan,Sao Tome and Principe,eVisaApply now
Afghanistan,Saudi Arabia,visa required
Afghanistan,Senegal,visa required
Afghanistan,Serbia,visa required
Afghanistan,Seychelles,tourist registration/90 daysApply now
Afghanistan,Sierra Leone,eVisaApply now
Afghanistan,Singapore,eVisaApply now
Afghanistan,Slovakia,visa required
Afghanistan,Slovenia,visa required
Afghanistan,Solomon Islands,visa required
Afghanistan,Somalia,visa on arrival/30 days
Afghanistan,South Africa,visa required
Afghanistan,South Korea,eVisaApply now
Afghanistan,South Sudan,eVisaApply now
Afghanistan,Spain,visa required
Afghanistan,Sri Lanka,eTA/30 daysApply now
Afghanistan,St. Vincent and the Grenadines,visa required
Afghanistan,Sudan,visa required
Afghanistan,Suriname,eVisa/90 days
Afghanistan,Sweden,visa required
Afghanistan,Switzerland,visa required
Afghanistan,Syria,visa required
Afghanistan,Taiwan,visa required
Afghanistan,Tajikistan,eVisaApply now
Afghanistan,Tanzania,eVisa
Afghanistan,Thailand,visa required
Afghanistan,Timor-Leste,visa on arrival/30 days
Afghanistan,Togo,visa on arrival / eVisa/15 daysApply now
Afghanistan,Tonga,visa required
Afghanistan,Trinidad and Tobago,visa required
Afghanistan,Tunisia,visa required
Afghanistan,Turkmenistan,visa required
Afghanistan,Tuvalu,visa on arrival/30 days
Afghanistan,Türkiye,visa required
Afghanistan,Uganda,eVisaApply now
Afghanistan,Ukraine,visa required
Afghanistan,United Arab Emirates,visa required
Afghanistan,United Kingdom,visa required
Afghanistan,United States of America,visa required
Afghanistan,Uruguay,visa required
Afghanistan,Uzbekistan,eVisaApply now
Afghanistan,Vanuatu,visa required
Afghanistan,Vatican City,visa required
Afghanistan,Venezuela,visa required
Afghanistan,Viet Nam,eVisa/90 daysApply now
Afghanistan,Yemen,visa required
Afghanistan,Zambia,eVisaApply now
Afghanistan,Zimbabwe,eVisaApply now
Albania,Afghanistan,visa required
Albania,Algeria,visa required
Albania,Andorra,visa-free/90 days
Albania,Angola,visa required
Albania,Antigua and Barbuda,visa-free/180 days
Albania,Argentina,visa required
Albania,Armenia,visa-free/180 days
Albania,Australia,eVisaApply now
Albania,Austria,visa-free/90 days
Albania,Azerbaijan,eVisa/30 daysApply now
Albania,Bahamas,eVisaApply now
Albania,Bahrain,eVisaApply now
Albania,Bangladesh,visa on arrival/30 days
Albania,Barbados,visa-free/28 days
Albania,Belarus,visa-free/30 days
Albania,Belgium,visa-free/90 days
Albania,Belize,visa required
Albania,Benin,eVisaApply now
Albania,Bhutan,eVisaApply now
Albania,Bolivia,visa on arrival / eVisa/90 daysApply now
Albania,Bosnia and Herzegovina,visa-free/90 days
Albania,Botswana,eVisaApply now
Albania,Brazil,visa-free/90 days
Albania,Brunei,visa required
Albania,Bulgaria,visa-free/90 days
Albania,Burkina Faso,eVisaApply now
Albania,Burundi,visa on arrival/30 days
Albania,Cambodia,visa on arrival / eVisa/30 daysApply now
Albania,Cameroon,eVisaApply now
Albania,Canada,visa required
Albania,Cape Verde,visa on arrival (EASE)Apply now
Albania,Central African Republic,visa required
Albania,Chad,visa required
Albania,Chile,visa-free/90 days
Albania,China,visa-free/90 days
Albania,Colombia,visa-free/90 days
Albania,Comoros,visa on arrival/45 days
Albania,Congo,visa required
