symbol,date,timestamp,open,high,low,close,volume
VIB,2017-01-09,1483920000,11.02,11.02,7.872,8.566,346000
VIB,2017-01-10,1484006400,8.843,8.843,8.566,8.658,234947
VIB,2017-01-11,1484092800,8.658,8.658,8.473,8.566,173442
VIB,2017-01-12,1484179200,8.335,8.335,7.778,7.778,52349
VIB,2017-01-13,1484265600,7.547,7.547,6.992,7.038,70740
VIB,2017-01-16,1484524800,7.13,7.13,6.899,7.084,134435
VIB,2017-01-17,1484611200,6.946,7.27,6.946,7.27,40175
VIB,2017-01-18,1484697600,7.27,7.316,7.177,7.316,20408
VIB,2017-01-19,1484784000,7.27,7.409,7.223,7.409,73089
VIB,2017-01-20,1484870400,7.316,7.64,7.316,7.362,52135
VIB,2017-01-23,1485129600,7.64,7.826,7.502,7.502,42247
VIB,2017-01-24,1485216000,7.733,7.872,7.733,7.872,63225
VIB,2017-01-25,1485302400,7.826,7.826,7.826,7.826,1610
VIB,2017-02-02,1485993600,7.826,7.826,7.455,7.547,9810
VIB,2017-02-03,1486080000,7.455,7.826,7.455,7.733,7890
VIB,2017-02-06,1486339200,7.687,7.687,7.64,7.64,75013
VIB,2017-02-07,1486425600,7.64,7.64,7.64,7.64,23900
VIB,2017-02-08,1486512000,7.64,7.64,7.547,7.547,11454
VIB,2017-02-09,1486598400,7.64,7.778,7.593,7.593,27845
VIB,2017-02-10,1486684800,7.64,7.826,7.64,7.826,12638
VIB,2017-02-13,1486944000,7.593,7.778,7.593,7.778,24240
VIB,2017-02-14,1487030400,7.687,7.733,7.687,7.687,17715
VIB,2017-02-15,1487116800,7.64,7.872,7.64,7.733,53610
VIB,2017-02-16,1487203200,7.826,7.964,7.826,7.872,62280
VIB,2017-02-17,1487289600,7.778,7.778,7.778,7.778,1540
VIB,2017-02-20,1487548800,7.778,7.964,7.778,7.826,20599
VIB,2017-02-21,1487635200,7.826,7.872,7.778,7.872,12750
VIB,2017-02-22,1487721600,7.872,7.917,7.826,7.826,41019
VIB,2017-02-23,1487808000,7.872,7.872,7.778,7.778,60220
VIB,2017-02-24,1487894400,7.872,7.872,7.826,7.872,30064
VIB,2017-02-27,1488153600,7.872,7.872,7.826,7.872,16720
VIB,2017-02-28,1488240000,7.826,7.964,7.826,7.917,13447
VIB,2017-03-01,1488326400,7.917,8.103,7.917,8.01,8158
VIB,2017-03-02,1488412800,8.15,8.473,8.055,8.103,17246
VIB,2017-03-03,1488499200,8.15,8.196,8.15,8.196,13301
VIB,2017-03-06,1488758400,8.196,8.196,8.103,8.103,20752
VIB,2017-03-07,1488844800,7.964,8.196,7.964,8.15,15280
VIB,2017-03-08,1488931200,8.01,8.01,8.01,8.01,4000
VIB,2017-03-09,1489017600,8.01,8.01,7.964,8.01,6619
VIB,2017-03-10,1489104000,8.01,8.103,8.01,8.103,1400
VIB,2017-03-13,1489363200,8.103,8.15,8.103,8.103,3515
VIB,2017-03-14,1489449600,8.103,8.196,8.103,8.15,12650
VIB,2017-03-15,1489536000,8.055,8.103,8.01,8.103,42200
VIB,2017-03-16,1489622400,8.103,8.103,8.103,8.103,12643
VIB,2017-03-17,1489708800,8.15,8.15,8.15,8.15,4767
VIB,2017-03-20,1489968000,8.15,8.15,8.055,8.055,15087
VIB,2017-03-21,1490054400,8.103,8.103,8.103,8.103,8753
VIB,2017-03-22,1490140800,8.242,8.242,8.103,8.103,23629
VIB,2017-03-23,1490227200,8.103,8.103,8.103,8.103,7280
VIB,2017-03-24,1490313600,7.964,8.242,7.964,8.103,13548
VIB,2017-03-27,1490572800,8.103,8.15,8.103,8.15,4030
VIB,2017-03-28,1490659200,8.103,8.242,8.103,8.196,11397
VIB,2017-03-29,1490745600,8.335,8.335,8.15,8.15,3496
VIB,2017-03-30,1490832000,8.335,8.335,8.196,8.196,15105
VIB,2017-03-31,1490918400,8.335,8.335,8.196,8.335,42058
VIB,2017-04-03,1491177600,8.335,8.566,8.335,8.519,27703
VIB,2017-04-04,1491264000,8.566,8.566,8.519,8.519,21211
VIB,2017-04-05,1491350400,8.658,8.704,8.566,8.566,35224
VIB,2017-04-07,1491523200,8.704,8.704,8.566,8.612,18220
VIB,2017-04-10,1491782400,8.612,8.658,8.612,8.658,3630
VIB,2017-04-11,1491868800,8.658,8.89,8.658,8.752,54706
VIB,2017-04-12,1491955200,8.658,8.843,8.658,8.752,25639
VIB,2017-04-13,1492041600,8.843,9.724,8.843,9.399,93217
VIB,2017-04-14,1492128000,9.399,9.492,9.167,9.167,6810
VIB,2017-04-17,1492387200,9.353,9.353,8.798,9.167,23971
VIB,2017-04-18,1492473600,9.215,9.215,9.076,9.167,91100
VIB,2017-04-19,1492560000,9.167,9.261,9.167,9.215,78130
VIB,2017-04-20,1492646400,9.215,9.353,9.215,9.307,31708
VIB,2017-04-21,1492732800,9.261,9.261,9.261,9.261,60210
VIB,2017-04-24,1492992000,9.261,9.261,9.167,9.261,51260
VIB,2017-04-25,1493078400,9.307,9.492,9.261,9.353,70300
VIB,2017-04-26,1493164800,9.261,9.445,9.261,9.261,10591
VIB,2017-04-27,1493251200,9.261,9.492,9.261,9.261,44740
VIB,2017-04-28,1493337600,9.353,9.492,9.307,9.399,17003
VIB,2017-05-03,1493769600,9.677,9.677,9.353,9.584,4440
VIB,2017-05-04,1493856000,9.538,9.538,9.307,9.492,40700
VIB,2017-05-05,1493942400,9.445,9.538,9.399,9.538,116900
VIB,2017-05-08,1494201600,9.492,9.492,9.492,9.492,11150
VIB,2017-05-09,1494288000,9.584,9.677,9.538,9.677,36600
VIB,2017-05-10,1494374400,9.631,9.631,9.584,9.584,81510
VIB,2017-05-11,1494460800,9.631,9.724,9.584,9.724,47501
VIB,2017-05-12,1494547200,9.862,9.955,9.724,9.908,214450
VIB,2017-05-15,1494806400,9.908,10.65,9.862,10.65,63980
VIB,2017-05-16,1494892800,10.65,11.53,10.65,11.53,140547
VIB,2017-05-17,1494979200,12.502,13.012,11.993,12.271,99635
VIB,2017-05-18,1495065600,14.632,14.632,10.928,11.206,42831
VIB,2017-05-19,1495152000,11.206,11.53,10.696,10.928,99690
VIB,2017-05-22,1495411200,11.344,11.483,10.696,10.882,101918
VIB,2017-05-23,1495497600,11.112,11.159,10.882,11.02,30000
VIB,2017-05-24,1495584000,11.112,11.112,10.187,10.187,69055
VIB,2017-05-25,1495670400,10.279,10.279,10.047,10.141,30545
VIB,2017-05-26,1495756800,10.187,10.233,9.77,10.187,4924
VIB,2017-05-29,1496016000,10.187,10.834,10.187,10.511,57110
VIB,2017-05-30,1496102400,10.557,10.834,10.372,10.465,42619
VIB,2017-05-31,1496188800,10.65,10.65,10.418,10.465,16824
VIB,2017-06-01,1496275200,10.834,10.834,10.187,10.187,16940
VIB,2017-06-02,1496361600,10.811,10.907,10.431,10.527,2580
VIB,2017-06-05,1496620800,10.527,10.811,10.431,10.431,39900
VIB,2017-06-06,1496707200,10.479,10.527,10.431,10.527,53340
VIB,2017-06-07,1496793600,10.858,10.858,10.479,10.573,69855
VIB,2017-06-08,1496880000,10.479,10.479,10.431,10.479,50310
VIB,2017-06-09,1496966400,10.431,10.479,10.431,10.431,43100
VIB,2017-06-12,1497225600,10.431,10.431,10.431,10.431,32600
VIB,2017-06-13,1497312000,10.479,10.479,10.385,10.431,17910
