code,date,stock,market,percentage
DCDE,2023-10-31,FPT,HOSE,9.60
DCDE,2023-10-31,VCB,HOSE,7.50
DCDE,2023-10-31,PNJ,HOSE,5.80
DCDE,2023-10-31,DGC,HOSE,4.60
DCDE,2023-10-31,ACB,HOSE,4.30
DCDE,2023-10-31,VPB,HOSE,3.80
DCDE,2023-10-31,MBB,HOSE,3.70
DCDE,2023-10-31,VNM,HOSE,3.10
DCDE,2023-10-31,MWG,HOSE,3.10
DCDE,2023-10-31,PDR,HOSE,2.40
DCDE,2023-09-30,FPT,HOSE,9.60
DCDE,2023-09-30,VCB,HOSE,7.50
DCDE,2023-09-30,PNJ,HOSE,5.80
DCDE,2023-09-30,DGC,HOSE,4.60
DCDE,2023-09-30,ACB,HOSE,4.30
DCDE,2023-09-30,VPB,HOSE,3.80
DCDE,2023-09-30,MBB,HOSE,3.70
DCDE,2023-09-30,VNM,HOSE,3.10
DCDE,2023-09-30,MWG,HOSE,3.10
DCDE,2023-09-30,PDR,HOSE,2.40
DCDE,2023-08-31,FPT,HOSE,9.60
DCDE,2023-08-31,VCB,HOSE,7.50
DCDE,2023-08-31,PNJ,HOSE,5.80
DCDE,2023-08-31,DGC,HOSE,4.60
DCDE,2023-08-31,ACB,HOSE,4.30
DCDE,2023-08-31,VPB,HOSE,3.80
DCDE,2023-08-31,MBB,HOSE,3.70
DCDE,2023-08-31,VNM,HOSE,3.10
DCDE,2023-08-31,MWG,HOSE,3.10
DCDE,2023-08-31,PDR,HOSE,2.40
DCDE,2023-07-31,FPT,HOSE,9.60
DCDE,2023-07-31,VCB,HOSE,7.50
DCDE,2023-07-31,PNJ,HOSE,5.80
DCDE,2023-07-31,DGC,HOSE,4.60
DCDE,2023-07-31,ACB,HOSE,4.30
DCDE,2023-07-31,VPB,HOSE,3.80
DCDE,2023-07-31,MBB,HOSE,3.70
DCDE,2023-07-31,VNM,HOSE,3.10
DCDE,2023-07-31,MWG,HOSE,3.10
DCDE,2023-07-31,PDR,HOSE,2.40
DCDE,2023-06-30,FPT,HOSE,9.60
DCDE,2023-06-30,VCB,HOSE,7.50
DCDE,2023-06-30,PNJ,HOSE,5.80
DCDE,2023-06-30,DGC,HOSE,4.60
DCDE,2023-06-30,ACB,HOSE,4.30
DCDE,2023-06-30,VPB,HOSE,3.80
DCDE,2023-06-30,MBB,HOSE,3.70
DCDE,2023-06-30,VNM,HOSE,3.10
DCDE,2023-06-30,MWG,HOSE,3.10
DCDE,2023-06-30,PDR,HOSE,2.40
DCDE,2023-05-31,FPT,HOSE,9.60
DCDE,2023-05-31,VCB,HOSE,7.50
DCDE,2023-05-31,PNJ,HOSE,5.80
DCDE,2023-05-31,DGC,HOSE,4.60
DCDE,2023-05-31,ACB,HOSE,4.30
DCDE,2023-05-31,VPB,HOSE,3.80
DCDE,2023-05-31,MBB,HOSE,3.70
DCDE,2023-05-31,VNM,HOSE,3.10
DCDE,2023-05-31,MWG,HOSE,3.10
DCDE,2023-05-31,PDR,HOSE,2.40
DCDE,2023-04-30,FPT,HOSE,9.60
DCDE,2023-04-30,VCB,HOSE,7.50
DCDE,2023-04-30,PNJ,HOSE,5.80
DCDE,2023-04-30,DGC,HOSE,4.60
DCDE,2023-04-30,ACB,HOSE,4.30
DCDE,2023-04-30,VPB,HOSE,3.80
DCDE,2023-04-30,MBB,HOSE,3.70
DCDE,2023-04-30,VNM,HOSE,3.10
DCDE,2023-04-30,MWG,HOSE,3.10
DCDE,2023-04-30,PDR,HOSE,2.40
DCDE,2023-03-31,FPT,HOSE,9.60
DCDE,2023-03-31,VCB,HOSE,7.50
DCDE,2023-03-31,PNJ,HOSE,5.80
DCDE,2023-03-31,DGC,HOSE,4.60
DCDE,2023-03-31,ACB,HOSE,4.30
DCDE,2023-03-31,VPB,HOSE,3.80
DCDE,2023-03-31,MBB,HOSE,3.70
DCDE,2023-03-31,VNM,HOSE,3.10
