uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
fb9817d3-f6f2-11ec-8e7a-78ac4409ff3c,1656428805,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5qk1/4R3/3p2pp/2pQ4/p1P2P2/2PP2K1/r6P/8 b - -,gvYIow5Qfo2Ueg92kA0Kbs!0lt8!clZRiqWGab3Vve6SsJGyJsQBoX4WXo7ZekBrleSxoxZxkuxZuJ0JsJ95esWXmu1LnDKDwD!3fnZSdv2sjsrGbeXbnmbeme5ruCrqvwGQCLSLJ0Q0e03!wvqagoaiowL9vJ,chess,90.55,2975,win,liemle,85.49,2516,timeout,chessenthusiastone,A30,English Opening Symmetrical Variation...3.g3 g6 4.Bg2 Bg7 5.O O
72c2453b-f6f4-11ec-8e7a-78ac4409ff3c,1656429568,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/8/1bk2p2/1p2r3/p7/2K5/8 w - -,lB!TkA2Uow92foZJAJTJmCJPgmYIBJ8!eg0Sbs5OcD3VjrSJCJ98ac6LdlUMDu46JR7ZfdOzsJPJoJzJlJLCJlZxnvCvms2scsvdRZdvsI67Z}78IkxLkILCuMVMlM!3ML32LMCUMlUTIM2?MIvQlsTsIs8miymogfopyGWOfgpisIiogfowrzwUfe?2el29ls90IK0RKNUwsBwEBsQJNVJSVNEAstAzNMzHM!HGtsGqszqrzyrH!7SZ791LyqRY9THPT9PRqzRBzsBC91OGstXH19Hz94Gy4WYRWXZQXHQHtlyqlkRI,chess,82.81,2624,resigned,aradhya2000,86.66,2984,win,liemle,D73,Neo Grunfeld Defense with 3 d5 4.Bg2 Bg7
261fd236-f6f6-11ec-8e7a-78ac4409ff3c,1656430176,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/P4ppk/q3p2p/8/1Q2P3/5PP1/r4B1P/5RK1 b - -,gvZJow5ZlB!TfoZPeg6Lbl3VkAJAlAPAdyYQyALCvKCJAtJogo0SmC90fd8!cu7Gnv97trGPKAPOac46unTZiqZPAKOyriPZKtyHqyHOjr09ik78tIZIBI87rzXPd767IPWPkQ7lyGOmQP9zGOliOW!3cfzlP5mOoglz5z,chess,90.59,2996,win,liemle,85.08,2704,resigned,lagravesamuell,A07,Kings Indian Attack 2...Nd7 3.d4
a19cb72c-f6f7-11ec-8e7a-78ac4409ff3c,1656430790,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2r3k1/p4p2/1p4p1/5nP1/P1p2P2/7R/3r3P/4R1K1 w - -,gvYIow5Qfo2UkA92egZRbs3Nab!ViqVLjzNFmuFxoh8!sCXPCMLVvF6Edk46cj0KhJ7MnDKDuDMNj2!2zIQBkCRIbeVLCK2!KTLFwFESTMNMFMSJAJ97eu7JuxBLfeJlqyIA,chess,85.56,2839,resigned,verdenotte,93.62,3016,win,liemle,A04,Reti Opening Sicilian Invitation 2.g3 Nc6 3.Bg2 g6
e4c68ea9-f6f9-11ec-8e7a-78ac4409ff3c,1656431850,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,Q4R2/3K4/8/4b1pp/4p2k/4B2P/r4PP1/8 b - -,lB!TkA2Ugv92bs8!mCZRfm0Keg5QBKRKcM7dfd6SsJTCJY46YS1SMu97mtCRvMKCMCRCtC2jab7dbd6YCQXQuIjTgf!1dbT0IuSKfmKCb5QIuDYZDu1S5HZtHGtsGyskmdkjyW0Riqjipx3NqyiqdkRKuIqsklsAIPSLyGAylkyikrijrAjkAHkjHQjkQZkjPuKDuIjkIPkjW4DK49LMPuMFGOjiOWUMW~,chess,91.69,2957,win,joppie2,86.24,2980,timeout,liemle,E61,Kings Indian Defense Normal Variation 4.Nf3
5af6072c-f6fb-11ec-8e7a-78ac4409ff3c,1656432499,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/5Qk1/6p1/4N2p/5K1P/6P1/1q6/8 b - -,gv!Tow2Ujr92cj8!foZRlB98eg5ZkAYQbs0KmCKBvBZIdk7Yad6Edl47pxE6rzISBS6SsmWGiqGzqzYPkrPOfcXHAHOHrtHzcQTCoC2jmDSZQR8CRZ7ZtZjsldCedeseDtentnzrZR3NRDriDBirnCriCT!9TJ9!xFirJurbgnbinvirBJrqJKqrvorioxibxpbiuoirKeripxiroDrie8!28K2!KJiaxoajovjsDtsqvCqyCuyqJ7!27B2!uDqitKiSBZSrZ6!26ArjA1,chess,90.03,2998,win,liemle,86.01,2838,timeout,timofeevar,A04,Reti Opening Nimzo Larsen Variation...4.g3 O O 5.Bg2 d6
b8b7afeb-f6fc-11ec-8e7a-78ac4409ff3c,1656433049,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/3pB3/3P4/5p1p/5KbP/7k/8 b - -,mCYIbs5Qgv0SlBIBvB7YowWOfo!Teg3NpxQBdB9IcDZRBlSKDM6SadXHiq47sJSJCJ76ksT3ov3MlM2UgoY0MlKCfe1LvmNFwE81nDIPef12da?9qyHzmOzsjs6Iab0WlB23yGPGbXWXOXGsBy91XQs2fnCunm10ELULy4IAov2VmuADvm0umuDyuvy4Q43U4QUTQZTKZSVMS!KB!SBKS!Ml!SLDS!le!SewS!KB!SBtS!tl!SleS!ef!SfgSEgpES,chess,87.69,2907,agreed,jcibarra,88.21,2991,agreed,liemle,B40,Sicilian Defense French Variation 3.Nc3 Nc6
3435585e-f6fe-11ec-8e7a-78ac4409ff3c,1656433634,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3r2k1/p4p2/2p4p/2n1pqp1/p3n3/R1P1K2P/1P6/1Q2RB2 w - -,gvZJow!TfoYQeg6Elt5Zbl0KmCJCtC90pxENde8!lA7Yiy98clXHlGY5AlHyGs5Heb0zszHzkszHbkZIfb45ofHXvF87aqXZlAZSbe7ZAl57lv3Vgo2MFLNvovTCwEZlkblnvunLELSL,chess,78.37,2964,resigned,liemle,91.02,2966,win,miterryble,A07,Kings Indian Attack Yugoslav Variation...7.e4 dxe4 8.dxe4 Be7
71198068-f700-11ec-8e7a-78ac4409ff3c,1656434543,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,6k1/1p6/2pR4/4pN2/1PP2bPK/8/5B2/7q w - -,lB!TkA2Ugv92ow8!foZRbs5Qeg6Lve76mCLxekWGnvxogo0KcuTZdlGyBJQ0jryrir4afa1LkeLDunUMwE3NpxZTlm0UrzNExETEetETahMEvEDvmvTJsJ9vov69voYQJuUDtD9DhdDCow2VuLVDwFCvdRvh,chess,82.14,2740,checkmated,alexrustemov,94.4,2974,win,liemle,E64,Kings Indian Defense...4.g3 d6 5.Bg2 O O
d3bed73b-f701-11ec-8e7a-78ac4409ff3c,1656435331,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/4p3/5p1p/2k2P1P/4K3/8/8 w - -,gvZJlB!TksYQdk6EvK5ZKETEmCJCfmETbl0Seg9RlCTCkCZTCv8!fdWGiyR0cD7Jvx97DKJZmt2UdeTJeC0TtmTKBK!2xvZ0pF3Nvw7?ad47dtJYtRY8R707CB70wt0ItCI0CD8YsA?6Dl0IlDI0gpY8ow67po7Zmv07BZ7ZDu8YuPYOPGZBjzBAzHQHGHAHyHOIHPIZvXZPnD29ov90XQPAvCAlCulAutAPtB09BIP6QC60IR0!RZ!VZRV!RI90IB!VBIV!IB!VBIVEIBEpBupEuvEVCtVEtHEVvCVEHmEVmtVLCvLVvuVEuBEVtmVLBILwmtwLtLULIA1TKT0TABT1BK10KB0RBtRJtuJA,chess,90.28,2947,resigned,liemle,93.79,2911,win,shimastream,D02,Queens Pawn Opening Zukertort Variation
