symbol,date,timestamp,open,high,low,close,volume
VNM,2006-01-19,1137628800,2.767,2.767,2.767,2.767,109350
VNM,2006-01-20,1137715200,2.821,2.874,2.821,2.821,157840
VNM,2006-01-23,1137974400,2.821,2.821,2.742,2.742,81400
VNM,2006-01-24,1138060800,2.742,2.742,2.716,2.716,66000
VNM,2006-01-25,1138147200,2.716,2.767,2.716,2.767,57220
VNM,2006-01-26,1138233600,2.794,2.794,2.794,2.794,18750
VNM,2006-01-27,1138320000,2.767,2.767,2.767,2.767,25630
VNM,2006-02-06,1139184000,2.767,2.767,2.767,2.767,25190
VNM,2006-02-07,1139270400,2.821,2.821,2.821,2.821,138720
VNM,2006-02-08,1139356800,2.874,2.874,2.874,2.874,159300
VNM,2006-02-09,1139443200,2.874,2.874,2.874,2.874,153580
VNM,2006-02-10,1139529600,2.874,2.874,2.821,2.874,128650
VNM,2006-02-13,1139788800,2.874,2.874,2.874,2.874,153670
VNM,2006-02-14,1139875200,2.874,2.874,2.874,2.874,113260
VNM,2006-02-15,1139961600,2.874,2.874,2.846,2.846,132600
VNM,2006-02-16,1140048000,2.874,2.874,2.874,2.874,184290
VNM,2006-02-17,1140134400,2.927,3.002,2.927,3.002,128090
VNM,2006-02-20,1140393600,3.132,3.132,3.132,3.132,62050
VNM,2006-02-21,1140480000,3.289,3.289,3.289,3.289,101970
VNM,2006-02-22,1140566400,3.289,3.394,3.289,3.289,264890
VNM,2006-02-23,1140652800,3.341,3.341,3.341,3.341,130490
VNM,2006-02-24,1140739200,3.369,3.369,3.369,3.369,90480
VNM,2006-02-27,1140998400,3.394,3.422,3.394,3.422,162140
VNM,2006-02-28,1141084800,3.445,3.578,3.445,3.578,164820
VNM,2006-03-01,1141171200,3.708,3.735,3.708,3.708,164480
VNM,2006-03-02,1141257600,3.735,3.758,3.735,3.758,222520
VNM,2006-03-03,1141344000,3.708,3.708,3.578,3.578,227880
VNM,2006-03-06,1141603200,3.578,3.654,3.551,3.654,200050
VNM,2006-03-07,1141689600,3.654,3.654,3.654,3.654,129210
VNM,2006-03-08,1141776000,3.605,3.605,3.551,3.551,163660
VNM,2006-03-09,1141862400,3.578,3.605,3.578,3.578,206310
VNM,2006-03-10,1141948800,3.578,3.605,3.578,3.578,125760
VNM,2006-03-13,1142208000,3.654,3.654,3.654,3.654,257130
VNM,2006-03-14,1142294400,3.681,3.708,3.681,3.708,223540
VNM,2006-03-15,1142380800,3.708,3.708,3.605,3.605,201720
VNM,2006-03-16,1142467200,3.654,3.708,3.654,3.654,171110
VNM,2006-03-17,1142553600,3.654,3.708,3.654,3.708,189800
VNM,2006-03-20,1142812800,3.708,3.758,3.708,3.758,320020
VNM,2006-03-21,1142899200,3.812,3.838,3.812,3.838,266040
VNM,2006-03-22,1142985600,3.838,3.918,3.838,3.838,173010
VNM,2006-03-23,1143072000,3.864,3.889,3.864,3.889,181330
VNM,2006-03-24,1143158400,3.889,3.889,3.864,3.864,137520
VNM,2006-03-27,1143417600,3.889,3.889,3.889,3.889,167410
VNM,2006-03-28,1143504000,3.889,3.889,3.889,3.889,130790
VNM,2006-03-29,1143590400,3.918,3.993,3.918,3.993,284640
VNM,2006-03-30,1143676800,4.179,4.179,4.179,4.179,184200
VNM,2006-03-31,1143763200,4.232,4.279,4.232,4.232,171770
VNM,2006-04-03,1144022400,4.386,4.437,4.386,4.437,259620
VNM,2006-04-04,1144108800,4.437,4.597,4.232,4.232,242500
VNM,2006-04-05,1144195200,4.437,4.437,4.437,4.437,191790
VNM,2006-04-06,1144281600,4.542,4.542,4.542,4.542,234410
VNM,2006-04-07,1144368000,4.647,4.701,4.647,4.701,276750
VNM,2006-04-10,1144627200,4.701,4.78,4.647,4.647,190930
VNM,2006-04-11,1144713600,4.597,4.597,4.518,4.518,152780
VNM,2006-04-12,1144800000,4.597,4.647,4.597,4.647,134540
VNM,2006-04-13,1144886400,4.701,4.752,4.701,4.752,182010
VNM,2006-04-14,1144972800,4.752,4.752,4.701,4.701,135270
VNM,2006-04-17,1145232000,4.701,4.701,4.701,4.701,162080
VNM,2006-04-18,1145318400,4.752,4.752,4.752,4.752,183230
VNM,2006-04-19,1145404800,4.752,4.805,4.752,4.752,195960
VNM,2006-04-20,1145491200,4.752,4.752,4.752,4.752,130410
VNM,2006-04-21,1145577600,4.99,4.99,4.99,4.99,378460
VNM,2006-04-24,1145836800,5.224,5.224,5.224,5.224,202190
VNM,2006-04-25,1145923200,5.327,5.432,5.327,5.327,387490
VNM,2006-04-26,1146009600,5.119,5.119,5.119,5.119,282180
VNM,2006-04-27,1146096000,5.119,5.119,4.881,4.881,371490
VNM,2006-04-28,1146182400,4.881,4.881,4.857,4.881,420830
VNM,2006-05-03,1146614400,5.066,5.066,5.066,5.066,132570
VNM,2006-05-04,1146700800,5.014,5.014,4.961,4.961,217800
VNM,2006-05-05,1146787200,4.961,4.961,4.857,4.857,272950
VNM,2006-05-08,1147046400,4.857,4.857,4.701,4.701,217830
VNM,2006-05-09,1147132800,4.466,4.466,4.466,4.466,421900
VNM,2006-05-10,1147219200,4.256,4.256,4.256,4.256,360820
VNM,2006-05-11,1147305600,4.466,4.466,4.466,4.466,393040
VNM,2006-05-12,1147392000,4.675,4.675,4.675,4.675,60420
VNM,2006-05-15,1147651200,4.881,4.881,4.881,4.881,133080
VNM,2006-05-16,1147737600,4.752,4.752,4.647,4.647,340760
VNM,2006-05-17,1147824000,4.728,4.752,4.728,4.728,191180
VNM,2006-05-18,1147910400,4.675,4.675,4.675,4.675,112310
VNM,2006-05-19,1147996800,4.647,4.647,4.597,4.647,137010
VNM,2006-05-22,1148256000,4.647,4.647,4.597,4.597,122780
VNM,2006-05-23,1148342400,4.491,4.491,4.491,4.491,122020
VNM,2006-05-24,1148428800,4.597,4.701,4.597,4.701,122100
VNM,2006-05-25,1148515200,4.597,4.597,4.542,4.542,127620
