symbol,date,timestamp,open,high,low,close,volume
MWG,2014-07-14,1405296000,13.292,13.373,13.292,13.373,10660
MWG,2014-07-15,1405382400,14.277,14.277,14.277,14.277,13480
MWG,2014-07-16,1405468800,15.261,15.261,15.261,15.261,17290
MWG,2014-07-17,1405555200,16.328,16.328,16.328,16.328,95120
MWG,2014-07-18,1405641600,17.394,17.394,17.394,17.394,134460
MWG,2014-07-21,1405900800,18.543,18.543,16.573,17.394,311030
MWG,2014-07-22,1405987200,17.067,17.886,17.067,17.886,568890
MWG,2014-07-23,1406073600,18.05,18.05,17.721,17.886,23330
MWG,2014-07-24,1406160000,17.721,17.886,17.721,17.721,33590
MWG,2014-07-25,1406246400,17.721,17.886,17.721,17.721,79630
MWG,2014-07-28,1406505600,17.721,17.886,17.721,17.721,93810
MWG,2014-07-29,1406592000,17.721,17.721,17.23,17.394,25300
MWG,2014-07-30,1406678400,17.558,17.558,17.23,17.394,16160
MWG,2014-07-31,1406764800,17.23,17.23,16.573,16.902,37400
MWG,2014-08-01,1406851200,17.23,17.23,16.737,16.902,28290
MWG,2014-08-04,1407110400,16.902,16.902,16.902,16.902,13350
MWG,2014-08-05,1407196800,17.067,17.23,17.067,17.067,21340
MWG,2014-08-06,1407283200,17.067,17.558,17.067,17.558,20800
MWG,2014-08-07,1407369600,17.558,17.558,17.394,17.558,17250
MWG,2014-08-08,1407456000,17.394,17.558,17.394,17.558,9190
MWG,2014-08-11,1407715200,18.707,18.707,18.215,18.707,179250
MWG,2014-08-12,1407801600,18.871,19.362,18.871,19.362,64140
MWG,2014-08-13,1407888000,19.528,20.511,19.199,20.347,147010
MWG,2014-08-14,1407974400,20.347,21.66,20.347,21.66,149800
MWG,2014-08-15,1408060800,22.973,23.137,22.317,23.137,100130
MWG,2014-08-18,1408320000,23.958,24.451,23.629,24.451,29910
MWG,2014-08-19,1408406400,23.794,24.285,22.809,22.809,39150
MWG,2014-08-20,1408492800,21.496,22.973,21.496,22.809,46550
MWG,2014-08-21,1408579200,22.481,22.809,22.154,22.154,58570
MWG,2014-08-22,1408665600,22.154,23.137,22.154,23.137,45860
MWG,2014-08-25,1408924800,23.794,23.958,23.137,23.629,61190
MWG,2014-08-26,1409011200,23.629,23.629,21.988,21.988,29880
MWG,2014-08-27,1409097600,22.645,22.973,22.154,22.481,11450
MWG,2014-08-28,1409184000,22.481,22.481,22.154,22.481,5070
MWG,2014-08-29,1409270400,22.481,22.481,21.333,22.154,15750
MWG,2014-09-03,1409702400,22.317,22.317,21.824,22.154,25120
MWG,2014-09-04,1409788800,21.988,21.988,21.333,21.66,37750
MWG,2014-09-05,1409875200,21.824,22.317,21.824,22.317,44760
MWG,2014-09-08,1410134400,22.645,23.794,22.317,23.794,171700
MWG,2014-09-09,1410220800,25.434,25.434,24.122,24.451,88810
MWG,2014-09-10,1410307200,25.106,25.106,23.958,24.943,23640
MWG,2014-09-11,1410393600,24.777,25.27,24.615,24.943,25860
MWG,2014-09-12,1410480000,24.943,25.106,24.451,24.777,44670
MWG,2014-09-15,1410739200,24.777,25.106,24.777,24.943,14500
MWG,2014-09-16,1410825600,24.777,24.943,24.615,24.943,65900
MWG,2014-09-17,1410912000,25.27,25.27,24.615,24.943,6430
MWG,2014-09-18,1410998400,24.615,25.27,24.615,25.27,13030
MWG,2014-09-19,1411084800,25.763,26.911,25.763,26.911,20120
MWG,2014-09-22,1411344000,28.716,28.716,27.567,28.716,28590
MWG,2014-09-23,1411430400,29.537,30.03,28.552,28.552,13620
MWG,2014-09-24,1411516800,29.208,29.208,28.389,28.389,5790
MWG,2014-09-25,1411603200,27.896,27.896,26.418,26.418,30100
MWG,2014-09-26,1411689600,27.896,27.896,26.747,27.403,26080
MWG,2014-09-29,1411948800,27.896,27.896,27.567,27.567,11420
MWG,2014-09-30,1412035200,27.076,27.732,27.076,27.732,12510
MWG,2014-10-01,1412121600,27.732,28.224,27.732,27.896,24590
MWG,2014-10-02,1412208000,27.732,28.389,27.732,28.224,51070
MWG,2014-10-03,1412294400,28.716,29.044,28.552,28.716,22400
MWG,2014-10-06,1412553600,28.88,28.88,28.552,28.716,19250
MWG,2014-10-07,1412640000,28.552,28.88,28.552,28.716,37960
MWG,2014-10-08,1412726400,30.685,30.685,30.127,30.685,138900
MWG,2014-10-09,1412812800,32.359,32.637,32.359,32.637,271340
MWG,2014-10-10,1412899200,32.359,32.917,32.081,32.637,63600
MWG,2014-10-13,1413158400,32.081,32.081,30.965,31.244,17150
MWG,2014-10-14,1413244800,31.523,31.523,30.965,31.244,34880
MWG,2014-10-15,1413331200,31.244,31.523,30.965,31.523,94190
MWG,2014-10-16,1413417600,31.244,31.523,29.57,29.848,37680
MWG,2014-10-17,1413504000,30.685,30.685,29.57,30.406,59410
MWG,2014-10-20,1413763200,30.965,30.965,30.127,30.127,7760
MWG,2014-10-21,1413849600,30.127,30.406,29.57,30.127,14260
MWG,2014-10-22,1413936000,30.406,30.406,29.848,29.848,15150
MWG,2014-10-23,1414022400,29.848,29.848,29.013,29.291,21100
MWG,2014-10-24,1414108800,29.291,30.127,29.291,30.127,17040
MWG,2014-10-27,1414368000,30.685,31.523,30.406,30.406,26890
MWG,2014-10-28,1414454400,30.127,30.406,29.57,29.57,28140
MWG,2014-10-29,1414540800,29.848,29.848,29.291,29.291,21320
MWG,2014-10-30,1414627200,29.291,29.848,29.291,29.848,65350
MWG,2014-10-31,1414713600,29.848,29.848,29.291,29.57,26930
MWG,2014-11-03,1414972800,29.291,29.291,28.175,28.734,51330
MWG,2014-11-04,1415059200,27.896,29.013,27.896,28.734,84960
MWG,2014-11-05,1415145600,28.734,28.734,27.896,27.896,33320
MWG,2014-11-06,1415232000,27.616,28.734,26.78,27.059,176730
MWG,2014-11-07,1415318400,27.059,28.734,27.059,28.734,161420
MWG,2014-11-10,1415577600,28.734,28.734,28.175,28.455,67980
MWG,2014-11-11,1415664000,28.175,28.455,27.896,28.455,78920
MWG,2014-11-12,1415750400,28.175,28.455,28.175,28.175,64490
MWG,2014-11-13,1415836800,28.175,28.455,28.175,28.175,48060
MWG,2014-11-14,1415923200,28.175,28.734,28.175,28.455,95160
MWG,2014-11-17,1416182400,28.175,28.175,27.757,28.175,18180
MWG,2014-11-18,1416268800,27.896,27.896,27.616,27.616,21310
MWG,2014-11-19,1416355200,27.616,27.616,27.198,27.337,15200
MWG,2014-11-20,1416441600,27.616,27.616,26.92,27.337,25260
MWG,2014-11-21,1416528000,27.616,27.616,26.92,27.337,14000
MWG,2014-11-24,1416787200,26.92,27.059,26.502,26.502,57490
MWG,2014-11-25,1416873600,26.502,26.78,25.943,25.943,48550
MWG,2014-11-26,1416960000,26.223,26.223,25.525,25.664,39470
MWG,2014-11-27,1417046400,25.664,25.664,25.106,25.385,22250
MWG,2014-11-28,1417132800,25.664,25.664,24.828,24.828,38090
MWG,2014-12-01,1417392000,24.828,24.828,23.153,23.711,61960
MWG,2014-12-02,1417478400,23.711,25.246,23.711,25.246,39090
MWG,2014-12-03,1417564800,26.78,26.92,26.64,26.92,142170
MWG,2014-12-04,1417651200,28.734,28.734,27.896,27.896,257870
MWG,2014-12-05,1417737600,27.896,27.896,27.059,27.757,64980
MWG,2014-12-08,1417996800,27.337,27.896,27.337,27.757,132160
MWG,2014-12-09,1418083200,27.757,27.896,27.616,27.616,180930
MWG,2014-12-10,1418169600,26.223,27.478,26.223,27.478,16940
MWG,2014-12-11,1418256000,26.78,27.757,26.78,27.757,173360
MWG,2014-12-12,1418342400,27.757,28.175,27.616,27.896,162660
MWG,2014-12-15,1418601600,27.757,28.455,27.757,27.896,155470
MWG,2014-12-16,1418688000,28.175,28.175,27.896,27.896,35520
MWG,2014-12-17,1418774400,27.896,28.175,27.896,27.896,61200
MWG,2014-12-18,1418860800,27.616,27.616,27.337,27.616,20140
MWG,2014-12-19,1418947200,27.616,28.455,27.616,28.455,105970
MWG,2014-12-22,1419206400,28.455,28.734,28.175,28.455,45070
MWG,2014-12-23,1419292800,28.455,29.013,28.455,29.013,88810
MWG,2014-12-24,1419379200,29.013,30.965,29.013,30.406,372830
MWG,2014-12-25,1419465600,29.57,29.57,29.291,29.291,14960
MWG,2014-12-26,1419552000,29.291,29.848,29.291,29.57,36810
MWG,2014-12-29,1419811200,29.57,29.57,29.291,29.57,27440
MWG,2014-12-30,1419897600,29.57,30.127,29.291,30.127,42760
MWG,2014-12-31,1419984000,30.127,30.685,30.127,30.406,57150
MWG,2015-01-05,1420416000,30.685,30.685,29.848,30.127,18030
MWG,2015-01-06,1420502400,30.127,30.127,29.57,30.127,37970
MWG,2015-01-07,1420588800,29.848,30.127,29.57,29.57,10590
MWG,2015-01-08,1420675200,29.848,30.127,29.57,29.848,47040
MWG,2015-01-09,1420761600,29.57,30.406,29.57,30.406,46170
MWG,2015-01-12,1421020800,30.127,30.965,30.127,30.685,104230
MWG,2015-01-13,1421107200,30.685,32.081,30.685,32.081,290500
MWG,2015-01-14,1421193600,31.802,33.197,31.802,33.197,244240
MWG,2015-01-15,1421280000,33.475,33.754,33.197,33.475,76470
MWG,2015-01-16,1421366400,33.475,33.475,32.359,32.359,116950
MWG,2015-01-19,1421625600,32.917,32.917,32.081,32.917,155000
MWG,2015-01-20,1421712000,32.917,33.754,32.917,33.475,170300
MWG,2015-01-21,1421798400,33.475,33.754,33.197,33.475,132190
MWG,2015-01-22,1421884800,33.475,33.475,33.197,33.197,48110
MWG,2015-01-23,1421971200,32.917,33.475,32.917,33.475,83030
MWG,2015-01-26,1422230400,33.475,33.475,32.917,32.917,69470
MWG,2015-01-27,1422316800,32.917,33.475,32.917,33.197,74430
MWG,2015-01-28,1422403200,33.197,34.032,32.917,34.032,153520
MWG,2015-01-29,1422489600,34.032,34.87,33.754,34.87,189640
MWG,2015-01-30,1422576000,34.87,35.149,34.312,34.591,106070
MWG,2015-02-02,1422835200,34.591,34.591,33.475,33.475,63650
MWG,2015-02-03,1422921600,33.197,33.754,33.197,33.475,24450
MWG,2015-02-04,1423008000,33.197,34.591,33.197,34.312,95510
MWG,2015-02-05,1423094400,34.312,35.149,34.312,35.149,157180
MWG,2015-02-06,1423180800,35.149,35.707,35.149,35.429,90910
MWG,2015-02-09,1423440000,35.707,36.265,35.707,35.986,153370
MWG,2015-02-10,1423526400,35.707,36.265,35.707,35.707,117430
MWG,2015-02-11,1423612800,35.707,36.265,35.429,36.265,256600
MWG,2015-02-12,1423699200,35.986,36.265,35.986,36.265,59110
MWG,2015-02-13,1423785600,36.265,36.265,35.707,36.265,15410
MWG,2015-02-24,1424736000,36.822,38.776,36.543,38.776,312160
MWG,2015-02-25,1424822400,39.054,41.287,39.054,39.333,121560
MWG,2015-02-26,1424908800,39.333,39.891,39.054,39.611,98800
MWG,2015-02-27,1424995200,39.891,39.891,37.38,37.38,90050
MWG,2015-03-02,1425254400,36.265,36.543,34.87,35.707,101370
MWG,2015-03-03,1425340800,35.149,36.543,35.149,35.707,153750
MWG,2015-03-04,1425427200,35.986,36.265,35.429,35.986,108250
MWG,2015-03-05,1425513600,35.986,35.986,34.87,35.149,144100
MWG,2015-03-06,1425600000,34.87,34.87,34.032,34.312,71020
MWG,2015-03-09,1425859200,34.312,36.265,33.754,34.312,42500
