uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
f4445767-ec24-11ec-85a4-78ac4409ff3c,1655240862,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/8/3K4/5r1p/1k6/1p6/8 w - -,mCYIks!TCKTJlBIBgv5QfAJPAr2UsB92cDZRKR8!eg0Rbs6EpxEvdv7ZBJQBvt98fe3NDuZLtLBLuPWPgf2Kow!2foNFwELBad1LnDBrDKrIKR2TsH8ede4iemICHYT1ELULRZ10YS0ZSBCwmnZRBLwLnLijovjzLNPHN3RJ3XJQX2zA2MQPvuPGutGyMgyqgaqjaGAstBHzGHzrHNsxBAjkNMxwMLwEAJrjLnkrnDED,chess,75.59,2500,timeout,nozdrachev_leonid,81.31,2985,win,lyonbeast,B22,Alapin Sicilian Defense...7.Bb3 g6 8.cxd4 Bg7
3cd531ee-ec26-11ec-85a4-78ac4409ff3c,1655241295,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2b4R/3p1B2/2pP1B1k/1p3p2/r7/4P3/p2P2P1/2K5 b - -,kA0Kbs5Qgv!Tmu9zdk8!sJz0vM2UpFTJAJQzkrYQJR0RfA70iqzOrkXHAiOIjzIScjSMFM0MecWGnDM0hV!2dh9?kC1TCU3UV?TL?!2ThV02DKTM!2MVKRGzi1zq2UV3ja4yU!3VaTqi!?,chess,93.47,2988,win,lyonbeast,81.79,2610,checkmated,vazabanga,A28,English Opening Four Knights Quiet Line 4...Bb4 5.Qc2 O O 6.Nd5
ed772230-ec27-11ec-85a4-78ac4409ff3c,1655242149,180+1,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/1p3rk1/2p3R1/3p2p1/1P1P2P1/3BP3/4K3/8 b - -,lBZJkAYQgv!Tmu6Lbs0Sdr7Yfm3Veg5ZiyWGcl9zac46AJSJsHY5Hq5RlzRzrzGzqkzrka64ar4ycayzvl80aqT8fc8Rnv?8gn09qW2McsZTpxVNoENExELUWi92rI8?noT8srzrIr1LiWLEvE?9rI91lvUCICRCmt8Rtm10W4CTvKR1K121onTCneCRen12mtR8458TtLT8jz8RLt01nm2T5?10?VT2VR01RU,chess,93.26,2787,win,acostapablo,89.94,2968,resigned,lyonbeast,D12,Slav Defense Modern Quiet Schallopp Defense 5.Nc3 e6 6.Qb3
f0d05c1d-f656-11ec-8e7a-78ac4409ff3c,1656361624,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r4r1b/1p3k2/2p3p1/1P1pP1p1/3n2n1/2N2pP1/1B3P2/3R1BK1 b - -,lB!TgvZJkAYQbsWOiy2Umu92jz8!dr6EvKESAITZKt1TfmS1eg0KcjKCtDTLzHUMDN2?NwLDwL7TLRDvovCvmtTVghZIRLVxfgIrad1UL0!10U3UgwxwpwOHyH5ZuCZTCKTEhgrBtf,chess,82.73,2948,resigned,lyonbeast,90.46,2814,win,sumopork,D02,Queens Pawn Opening Symmetrical Variation
83d1e024-f657-11ec-8e7a-78ac4409ff3c,1656361979,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/8/1pK5/kP6/8/8/8 w - -,lB1LcD!TmuZRbs3VpF2UdvYQec6SuCLCsC5Zde81ft7GgmGimsiGCTZTtU1UeSGLheU3DRLvov0RST?!sC47TS!oem32Cw21wLoUBJQJSU1UL0UN0JNFclVNmS7ZluZ3SU9VvDFxuvNFUo32o2V2ksxpDLFxLT2VJDVDvDpgT1xp1~p~92gn2wnmwumduWhJWPdkDuJIPIRIjzIzszXHuBkrBIry,chess,0.0,2809,timeout,sumopork,0.0,2957,win,lyonbeast,A80,Dutch Defense 2.Bf4 Nf6 3.e3
56de80a3-f658-11ec-8e7a-78ac4409ff3c,1656362175,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r3kb1r/3qp1pp/1nQ2p2/8/2RP1B2/3NP3/PP3PPP/4K2R b Kkq -,lB!TkAYQgvZJbsWOAJQJcD5Qmu6EdrQGryXHfHOHsHEZvKZHyHTZac1TKtGAHJZPJQ7ZcA,chess,97.82,2965,win,lyonbeast,85.07,2804,resigned,sumopork,D11,Slav Defense Modern Line 3...Nf6
cb8fb384-f658-11ec-8e7a-78ac4409ff3c,1656362518,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2r5/4k3/4n3/3K1pp1/1PB5/p3B3/P4P2/8 w - -,lBZJkAJAmu0KfAKBuB9Rgv70cu!Teg6SBJSEfe8!bs5ZuB07pxENoENUvFTJFUJsBs3Udv45goXHArHzsBYIBu7TadTvovZKvo97dR7RuIKtIRteof57R0780zetzsUMsBWGrAtDBuDxfoxDov86jr!9vC90uPGyPBDSBuyqCJ2Urz1LELUL,chess,0.0,2799,timeout,sumopork,0.0,2972,win,lyonbeast,D20,Queens Gambit Accepted Old Variation...4.Bxc4 exd4 5.exd4 Bd6 6.Nf3
9879bd08-f659-11ec-8e7a-78ac4409ff3c,1656362839,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2r3k1/4rN1p/4PQ1P/p1q3p1/Ppbp4/1B1n4/1PP3P1/K3R3 b - -,mC2UlB92cuZRpFWOFNXHNV29iyHzfA6Xdv0Sgx90bl!TxM8!ec5ZArOGvxZPnDRJCKTZlvYIBIZIDLSLcb46he7YuIYIKS1TM1XOvBOABL6YL296baJBdtPJ2LJDL0Y0xFUMFnDtnT,chess,64.6,2979,win,lyonbeast,62.35,2795,resigned,sumopork,B06,Modern Defense with 1 e4 2.d4 Bg7 3.Be3 d6
5ead2e42-f65a-11ec-8e7a-78ac4409ff3c,1656363064,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r2q1r2/pp3kbB/3p4/2pPP3/3n1B2/8/PP3PP1/R2QK2R b KQ -,lB!TkA2Ugv92cM8!bsZRpFYIBJ0SFNSJsJ6SNU1UmC5Qft7GMlG7vMSJAJQBluTNM3!3CK3!tUNDU3!1uD,chess,0.0,2983,win,lyonbeast,0.0,2718,resigned,panesetcircenes,E60,Kings Indian Defense 3.Nf3 Bg7
dced952d-f65a-11ec-8e7a-78ac4409ff3c,1656363367,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/1p3ppp/p7/4p2N/PP1b4/4kbPK/7P/3R4 w - -,mC!TCKTJlBZRkAJPnDRKDK6Lbs0Sgv9zcuYIBIPZdy5Qad8!fm70yHZIegWOHPICsCLCiqzGPI0IuI97IRGPAI7RKRPIgh47RZCJjzI0vBQKmvKvBv0Tdc!9c6906707ve7ZetZQqyJAfcQJtDJBcdBuowTBhoSKDNAJoxJv,chess,80.33,2715,resigned,panesetcircenes,87.5,2987,win,lyonbeast,B03,Alekhines Defense Four Pawns Attack...6.fxe5 Bf5 7.Nc3 e6 8.Nf3
