type,color,extensions,tm_scope,ace_mode,language_id,language,aliases,codemirror_mode,codemirror_mime_type,interpreters,group,filenames,wrap,fs_name,searchable
data,#A89663,"['.OutJob', '.PcbDoc', '.PrjPCB', '.SchDoc']",source.ini,ini,187772328,Altium Designer,['altium'],,,,,,,,
programming,#C7D7DC,"['.as', '.angelscript']",source.angelscript,text,389477596,AngelScript,,clike,text/x-c++src,,,,,,
programming,#A9CC29,['.lp'],source.answersetprogramming,prolog,433009171,Answer Set Programming,,,,['clingo'],,,,,
data,#A9157E,,text.xml.ant,xml,15,Ant Build System,,xml,application/xml,,,"['ant.xml', 'build.xml']",,,
markup,#ff269e,"['.antlers.html', '.antlers.php', '.antlers.xml']",text.html.statamic,text,1067292663,Antlers,,,,,,,,,
data,#d12127,"['.apacheconf', '.vhost']",source.apacheconf,apache_conf,16,ApacheConf,"['aconf', 'apache']",,,,,"['.htaccess', 'apache2.conf', 'httpd.conf']",,,
programming,#1797c0,"['.cls', '.apex', '.trigger']",source.apex,java,17,Apex,,clike,text/x-java,,,,,,
programming,#0B3D91,['.agc'],source.agc,assembly_x86,18,Apollo Guidance Computer,,,,,Assembly,,,,
programming,#101F1F,"['.applescript', '.scpt']",source.applescript,applescript,19,AppleScript,['osascript'],,,['osascript'],,,,,
programming,#aa2afe,['.arc'],none,text,20,Arc,,,,,,,,,
prose,#73a0c5,"['.asciidoc', '.adoc', '.asc']",text.html.asciidoc,asciidoc,22,AsciiDoc,,,,,,,True,,
programming,#a957b0,['.aj'],source.aspectj,text,23,AspectJ,,,,,,,,,
programming,#6E4C13,"['.asm', '.a51', '.i', '.inc', '.nas', '.nasm']",source.assembly,assembly_x86,24,Assembly,"['asm', 'nasm']",,,,,,,,
markup,#ff5a03,['.astro'],source.astro,html,578209015,Astro,,jsx,text/jsx,,,,,,
programming,#ff0000,['.asy'],source.c++,c_cpp,591605007,Asymptote,,clike,text/x-kotlin,['asy'],,,,,
programming,#9CC134,['.aug'],none,text,25,Augeas,,,,,,,,,
programming,#6594b9,"['.ahk', '.ahkl']",source.ahk,autohotkey,26,AutoHotkey,['ahk'],,,,,,,,
programming,#1C3552,['.au3'],source.autoit,autohotkey,27,AutoIt,"['au3', 'AutoIt3', 'AutoItScript']",,,,,,,,
data,#0040FF,['.avdl'],source.avro,text,785497837,Avro IDL,,,,,,,,,
programming,#c30e9b,"['.awk', '.auk', '.gawk', '.mawk', '.nawk']",source.awk,text,28,Awk,,,,"['awk', 'gawk', 'mawk', 'nawk']",,,,,
programming,#00e4ff,['.bas'],source.vba,text,96642275,B4X,['basic for android'],vb,text/x-vb,,,,,,
programming,#ff0000,['.bas'],source.basic,text,28923963,BASIC,,,,,,,,,
programming,#2b7067,['.bqn'],source.bqn,text,330386870,BQN,,,,,,,,,
programming,#FF5000,['.bal'],source.ballerina,text,720859680,Ballerina,,,,,,,,,
programming,#C1F12E,"['.bat', '.cmd']",source.batchfile,batchfile,29,Batchfile,"['bat', 'batch', 'dosbatch', 'winbatch']",,,,,,,,
programming,#a52f4e,['.bf'],source.cs,csharp,545626333,Beef,,clike,text/x-csharp,,,,,,
programming,,"['.befunge', '.bf']",source.befunge,text,30,Befunge,,,,,,,,,
programming,#15A13C,['.be'],source.berry,text,121855308,Berry,['be'],,,,,,,,
markup,#778899,"['.bib', '.bibtex']",text.bibtex,tex,982188347,BibTeX,,stex,text/x-stex,,TeX,,,,
programming,#519aba,"['.bicep', '.bicepparam']",source.bicep,text,321200902,Bicep,,,,,,,,,
markup,#5562ac,['.bs'],source.csswg,html,1055528081,Bikeshed,,htmlmixed,text/html,,,,,,
programming,#6A463F,['.bison'],source.yacc,text,31,Bison,,,,,Yacc,,,,
