symbol,name,security
AABA,Altaba Inc.,Altaba Inc. - Common Stock
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock"
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock"
AAON,"AAON, Inc.","AAON, Inc. - Common Stock"
AAPL,Apple Inc.,Apple Inc. - Common Stock
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund
AAXN,"Axon Enterprise, Inc.","Axon Enterprise, Inc. - Common Stock"
ABAC,"Renmin Tianli Group, Inc.","Renmin Tianli Group, Inc. - Common Shares"
ABCB,Ameris Bancorp,Ameris Bancorp - Common Stock
ABCD,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock"
ABDC,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock
ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics Inc. - Common Stock
ABEOW,Abeona Therapeutics Inc.,Abeona Therapeutics Inc. - Warrant
ABIL,Ability Inc.,Ability Inc. - Ordinary Shares
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock"
ABMD,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock"
ABTX,"Allegiance Bancshares, Inc.","Allegiance Bancshares, Inc. - Common Stock"
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation - Common Stock
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock
ACBI,"Atlantic Capital Bancshares, Inc.","Atlantic Capital Bancshares, Inc. - Common Stock"
ACER,Acer Therapeutics Inc.,Acer Therapeutics Inc. - Common Stock
ACET,Aceto Corporation,Aceto Corporation - Common Stock
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock
ACGLO,Arch Capital Group Ltd.,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F"
ACGLP,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock"
ACHN,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock"
ACHV,"Achieve Life Sciences, Inc.","Achieve Life Sciences, Inc.  - Common Shares"
ACIA,"Acacia Communications, Inc.","Acacia Communications, Inc. - Common Stock"
ACIU,AC Immune SA,AC Immune SA - Common Stock
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock"
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock"
ACMR,"ACM Research, Inc.","ACM Research, Inc. - Class A Common Stock"
ACNB,ACNB Corporation,ACNB Corporation - Common Stock
