uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
20fdf48d-4414-11ea-9716-eb3d40010001,1580466815,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r5k1/pp2ppb1/r2p3p/1n4p1/n3P3/2P2NBP/RP1NKPP1/7R w - -,lB!Tgv2UcD92mu8!pxYIks7PdrZRbl6SfASAlAPOBI5ZiyZIrH96emTJAl6QDM3VMFUMFwIyHOQOuCJYaiYH,chess,0.0,2955,timeout,azerichess,0.0,3129,win,bigfish1995,A48,Indian Game East Indian London System...4.e3 O O 5.h3 c5 6.c3
249a10af-4415-11ea-9716-eb3d40010001,1580467304,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r7/P7/2p5/4p2p/2p5/1k3PPP/2p5/R1K5 w - -,mCYQlBZJCK6Lgv0Sfm!0ks3Vbl5Zjz1TlrTKvKZKBK7YcD0UDwUKdB9RrI86eg65aeKZB2ZI2Y5YzIRwnwVNfDXPDyPIyWYRiyIAyGLEmv74W4?4eaSKgnRIpxEvovJBnmIHGOBsOWHzmdzrdcsk,chess,94.93294621593685,3117,resigned,bigfish1995,90.85226500570441,2983,win,azerichess,B12,Caro Kann Defense Advance Short Variation with 4 Nf3...e6 5.Be2 Ne7 6.c3
4820f518-4416-11ea-9716-eb3d40010001,1580467675,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5rk1/1p1n3p/1pp5/5pp1/P1PPB2r/5PK1/8/R3R3 w - -,lB!TkA2Ugv92ow8!foYQegZJiy6Ldr7PrPWPAJTJbsJsjs5ZcM0Kfc4GmCLCvK2KoCKwpwGMsAMEce1LnvEwgnwxnoxFowUM,chess,90.19336182915475,2972,resigned,azerichess,99.30071757909369,3122,win,bigfish1995,D78,Neo Grunfeld Defense Classical Original Defense
248ae41b-4417-11ea-9716-eb3d40010001,1580468227,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,6k1/6p1/7p/1b1N4/7P/1r2RPK1/8/8 b - -,mC0Kgv5QfHWOHy!TegTClBXHyrZJBK6Sks9Idm8!cu1LKTIumu7TblClul!?ae47vBS!rkQKjzKAltARBQ78tBTBQBRCeuYIBrIzsz86kCJCrI!ifa67pFi!uC3Vnv9TaOTOIO!ACK7dgp?!OYdlpgldgpdlYHAfpgfoKuoxHsloghojzHjrhpxZpwZHsJ,chess,0.0,3119,agreed,bigfish1995,0.0,2979,agreed,azerichess,C82,Ruy Lopez Opening Morphy Defense Open Italian Variation 10.Qe2 O O
6d1b9805-4418-11ea-9716-eb3d40010001,1580468672,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2rr2k1/p4ppp/1pQ2n2/8/2P1p3/4P3/P2BBq1P/2KR2R1 w - -,lB!TkA0Sbs9zdkZJAJ7JgvJLkr5Qmu8!fmSKBJzsjsQGryXPsAKCvBLMclMoec6ZyqYIJQGQBQZQqRonhg97RQ46,chess,94.41160590939383,2969,timeout,azerichess,98.43428980868987,3124,win,bigfish1995,E34,Nimzo Indian Defense Classical Noa Variation...6.Nf3 Qf5 7.Qb3 Nc6
8a716694-4419-11ea-9716-eb3d40010001,1580469208,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3r1rk1/8/p6p/1p4p1/3pP3/2pR4/P1B3PP/3R2K1 b - -,mC0Kgv5QfHWOHy!TegTClBXHyrZJBK6Sks9Idm8!cu1LKTIumu7TblClul47ae!?vBS!rkQKlmKAjrARrz78mvTvBvRCeuYIfe86kb3VvK98KU?3UD2MDN3?nvIzvCzsbkJBut67NT89T!?!ed,chess,98.67285506777623,3129,win,bigfish1995,92.44617830334147,2960,resigned,azerichess,C82,Ruy Lopez Opening Morphy Defense Open Italian Variation 10.Qe2 O O
d894f36c-441a-11ea-9716-eb3d40010001,1580469676,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3rr2k/p3b3/b1p1p3/q3P2Q/3P3P/1P6/1P2NP1N/1K4R1 b - -,gv!TkA0SbsZJlB90cM3VMT0Tdk8!ecYQmCJACKT0fA5ZkC98pFZ9cb2UvpXHAtHzsm7JCuVNoE6XtCJGEN47NU1UhgzrirXOCU9UgU!1uD1UdgU3D13?1N,chess,97.86737569798736,2973,win,azerichess,62.17202562616652,2881,checkmated,dangerousfm1st,A15,English Opening Anglo Indian Kings Knight Variation
b8eecdd9-8c7e-11ee-b112-6cfe544c0428,1701018742,60,bullet,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,6k1/1pp2p2/1b1p2pQ/r2PP2p/4P1bq/P7/1BR3B1/5R1K w - -,ow0Kfo5QkA!Tbs9zsJzImu3NpxZRiqTJAJQ0gmIPlB8!egKBmB2Ujz0LBm7Tai98cjTMjcMTuCLBmBTBilBAcjWGlkArzG4GdcrwcV8KghwFnD6xDKxE,chess,76.28,3045,resigned,parhamov,85.51,3018,win,azerichess,A20,English Opening Kings English Variation 2.g3 Nc6 3.Bg2
f921e595-8c7e-11ee-b112-6cfe544c0428,1701018892,60,bullet,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/5pk1/5q2/6p1/3Q3p/4K2P/6P1/8 w - -,lB!Tgv2UcM92bs3VMT2TmCZRfA5Qpx8!dlT2ecWOheXHAJ6ZCK0SJQZQBJSJsJ98lsQJdJ76slRKvK6SKvSTks8eleHzeKTQKC48CtzsjrQPJ787t7!37ZPnZtnjcdjitkiadmajmtOGvgYIgmIArAGyms2sksjPAIPOtByqIQqisaOQaiQTBu32iJVNJCNFCBUM,chess,0.0,3002,timeout,azerichess,0.0,3053,win,parhamov,A48,Torre Attack Fianchetto Defense 4.Nc3
519e06b9-8c7f-11ee-b112-6cfe544c0428,1701019045,60,bullet,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/5B2/8/8/2R5/8/1k1K4/8 w - -,gv!TlB2UkAYIbsIBvB92mC8!cu0SfmZJCKTZnD5QAJSJeg98mvZPac1TdrTKsJ!?BQXQJPWPuP6SP7SrvQ87Q4ri4XKDfD2jc676X6?2pFjKDyi1oE3VgoKToxTKyW2TEMVMFMTMW1KT6XTKXCKT19TK9!MDCUKTUNDKxET0!8KRELRZLK0RKJRY8!YR!2R0JKZQ20QI0ZIPZRPHRJHzKSzsN1sASKAzKCzsJBskCuksBAsjumjrmlrqltqrtlrj,chess,0.0,3052,timevsinsufficient,parhamov,0.0,3004,timevsinsufficient,azerichess,A46,Indian Game Knights Variation
