uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
7c919c82-ed09-11ee-bd0d-6cfe544c0428,1711634756,600,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/4k3/R7/P1p3Pp/4P2P/2B2K2/8/8 b - -,mCYIgvWObs5Qfm0SlBIBvB9zBQXQcu!Tmvzsjs7GdB8!egSKBIGIuI98fd6Xab45IR56bXQIRY8SYGSQsA3VGsZRdbT3pF39iy9SvE68X585b5!3EL2ULS1SyGQYnv32oEVNEMY1go1Z5PRJAJSJsK21PT10TUJCvCZlovlkUOksKs,chess,89.76,2731,win,thevish,81.64,1844,timeout,sagar_raina,B28,Sicilian Defense OKelly Yerevan System 3...Nc6
c080d108-cc41-11eb-bd0d-09ff3c010001,1623588792,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r7/1p3kr1/p1nR4/2p1pB2/P3P3/2PP1N2/1P2KP2/R7 b - -,mCYIks0Kgv5QfA!Tlt90cMWOMT0TiyZRbq8!qk6EkuTMuE!?pFMVEV2VoE1Tdl?2AS70SL9!EMVNMT0TlMTMFM3VhNVMemMELE2TEL!2NVT1VR,chess,95.05905270635103,2434,win,thevish,65.69916098465481,1433,resigned,yuzvendrachahal,B22,Alapin Sicilian Defense 2...e5 3.Nf3 Nc6 4.Bc4
5b7ef718-cc41-11eb-bd0d-09ff3c010001,1623589413,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4rbk1/p4p2/5npp/2pPq3/2P3b1/1PN3P1/P2Q1PBP/R3R1K1 b - -,gvZJow!Tfo5QlB0Seg2UkA92bsQzdyzQvK8!KQXQyQ6ZQIYQIq98fd29qr45rk3Vjr7YcDY6D565mCSKBK5KCJQIklZEde,chess,99.01050093705788,2434,win,thevish,49.3004304813604,1017,timeout,rdmumbai,A07,Kings Indian Attack Yugoslav Variation 3.Bg2 Nc6 4.d4
6435cd5b-cc41-11eb-bd0d-09ff3c010001,1623589729,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/5p1k/p5pp/3q4/6Q1/8/RP4PP/2rN3K w - -,gv0KvKZRKv5QlB!TBJQKbs90mC8!fmYQegQJCJWOfeXHiq3VvB6ZcD46mv7PDKRKBQ0Idm98QK8KmKIngfneKeHzqzPzaiZHsmzRfg6kmsHZeuZEvETEu8!38C2UCERIghkcsdIJ,chess,92.78747244930005,2434,resigned,thevish,98.98487090453474,400,win,nikhil-kamath,A04,Reti Opening Ross Gambit 2.Nxe5
5fc26d6b-cc41-11eb-bd0d-09ff3c010001,1623590249,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2k5/1R6/p1P5/3P3p/4p1p1/P3P1P1/4KP1P/8 b - -,kA0Kbs!Tgv5Qow9Ifo8!eg98ltZRiqWOjzIWcM3VMT7TvlWBsJT7acQ0muBWJsYQlr6Sfe7Zdl46ljSxoxZxsC67AI06IR6Red1LCR7RrIWIzIRZjmxEmELEgfKCtB87fm!3cb3UbP75dbULPQZ7QY2UbPVNY1LM127!PUML2!5!U!LT!5T05X07BJ76IQ,chess,97.18195155776596,2434,win,thevish,79.16378227333195,865,timeout,sajidnadiadwala,A28,English Opening Four Knights Variation
59a26f2b-cc41-11eb-bd0d-09ff3c010001,1623590254,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/6k1/2RP4/5K2/2Pr4/8/6P1/8 b - -,lBZJcD!Tmu6Lgv0Sbl5ZksYQvKZKDK90fm3Veg8!iyTZKwQIdr7PrPZPyGPZGOXPlbIAbq0qaq46nvLUmdUtfe1LdmtmemZTwK2Mqa91KT1TuCLCvC69px91CJSJae!2mKTnemnmKmPHmK1ZKSZ1SR1LRZL1ZJ1TJZT1ZX2UXH1THITOIAOagnWGAIGyIGainvijGyjkyAkcAQU2BJcdsAVNJRMExENEvEdBEL,chess,96.10437150557762,2434,win,thevish,68.68196216543775,562,timeout,kichchasudeep,D00,Queens Pawn Opening Accelerated London System 2...Nf6 3.e3 Bf5
453bc653-cc4f-11eb-bd0d-09ff3c010001,1623594974,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4r1k1/1p2qp1p/p2r2p1/3P1p2/2N2P1P/1Q4P1/PP3P2/2RR2K1 b - -,lBZJcD5Qmu0Sgv!Tft9zksTNszNDuD8!zHQ0bs7RowRzdk2UpF0LtLSLeg98sJzRJY6ZkIRPvKZHIHPYacY0BJ47fdWOHr7RKA,chess,94.44087771881588,2434,win,thevish,41.548271910541025,800,timeout,arijit_singh,D00,Queens Pawn Opening Accelerated London System
401bd37b-cc4f-11eb-bd0d-09ff3c010001,1623594986,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2kr4/2pn4/p3B3/1p2P1B1/8/2P3Pp/PP3P1P/3R1RK1 b - -,mC0Kgv5QfA!TvMZJCJTJlB6SMS1SBK70eg86dmQBmC0IblBQks2UlrI0AHQ5rBWOHm3NCU92cMJDMD0ZmAZ8U878BS5ZS2892SNFS9?9owFxAS97adXHDM,chess,94.40001131468894,2434,win,thevish,14.12288179028347,800,resigned,aamirkhan14,C57,Italian Game Knight Attack Lolli Attack
4aa54653-cc4f-11eb-bd0d-09ff3c010001,1623595108,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/5p2/3p2pk/8/3B1P1Q/4P2P/3P2PK/8 b - -,kA0Kbs!Tgv5Qmu9RiqXPjzWOcj8!ft3VsC6XCRYRtmRJAJTJvKQKjKZRKBPHmvOGegGzdr4qaqzqvJXJrJ75fbHzpx98JA86bz54zy4XAi6cgpcfyWfbWXbXiqXbq4!34C2UCbVNb53V5?VM?TMVnDNFTF,chess,97.79534223986842,2434,win,thevish,54.763680649053676,400,checkmated,manukumarjain,A28,English Opening Four Knights Variation
4f067db1-cc4f-11eb-bd0d-09ff3c010001,1623595841,1800,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4q3/4Qp1k/5PP1/p6K/P6P/1P6/8/8 b - -,gv!TkAYIbsXPow6Xfo2Ueg92lBIBdBZRcu5Zac8!BF46jrZIfdICsCXCuBCvov7YvoWOBu98FBTZBlOGox65xZYZlJ86JHZEdl3NHJNFnvEZwEZYlt5XgoY5iy5YcdX5JC69EMFxoxY6xo98tJ6QJHQYpF2KvDK2DLULCL0SLvRJAJSJHJYkJt8Sdlk6uD2KmuKDuD68DLSCtBCuB757l787vu7JuvJloxlexEegENgBLTB7vC!?C07!0u!UNEU!uP!6EN?3PW6!W0!8MU,chess,95.96964549662964,2434,win,thevish,90.00846545422775,1600,timeout,ananyabirla,A15,English Opening Anglo Indian Kings Knight Variation
087ea00a-b0a5-11ea-bcea-eb3d40010001,1592403555,600,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r3k2r/1b1pbpp1/p3pn1p/1p5q/3n1B2/1BN3PK/PPP2P1P/R4R2 w kq -,mCYIgv5QfA0Seg!TbsWOltXHAr7YcM90ow3VMu6XCKQKtBKvgoIBdBvBoxYKuDKN,chess,15.623918580672015,1027,checkmated,viveklodha,99.33785126451697,1815,win,thevish,B30,Sicilian Defense Old Sicilian Variation 3.Bc4 e6 4.O O
4f78d83e-8ed1-11ea-8133-eb3d40010001,1588687076,1500+10,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,6k1/r4p2/6p1/7p/PR3R1P/r5P1/5PK1/8 w - -,lB!TkA0SgvZJbs90cD8!mu5ZiqYIAJTJsJSJBIZIDK6LacISftLtdt0TegTKvKJBfd98uB7BtBSBdB8KBZKHckWGow2UkYHLYX3NpF46Zl!2go6cqycAjrAslmsvmivsrzGzXzLGilsqlBGWBD2!ofqifoiqofqifoiq,chess,98.9566614669797,2751,repetition,thevish,99.02937304659376,2829,repetition,hikaru,D30,Queens Gambit Declined 3.Nf3 Nf6
55da0a1b-8ee1-11ea-8133-eb3d40010001,1588693132,1500+10,rapid,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r1bq2k1/1p3Qp1/pb2p2p/4N3/1P2p3/P3P3/5PPP/2R3K1 b - -,lB!TkA0SgvZJbs9zcM3VMT7Tmu8!acJAfAYIBI5ZegZIsH97dmzGiqICAtCRHR7RfdR7tCWOjzGPd7T7vK1LmNLCN1!31U3!U1!31U3!U1,chess,98.98045931671928,2758,repetition,tradjabov,97.53494486241628,2751,repetition,thevish,D30,Queens Gambit Declined 3.Nf3 Nf6
