uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
2c444287-4a30-11ed-be4c-78ac4409ff3c,1665582402,900+2,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/p2b1pkp/8/1PQ1q1p1/P5P1/1P3P2/6P1/2Rr2K1 w - -,lB!TkA0Sbs9znvYIBJZRmC8!cD98JS6Sft5QgmQKjrTNDwNwpw7MdlMTacXHAHRJCJKtltSLtl8KegKmlmzscsTsfd!9JR48mnLZgp8SwE2MiysKpgSRdcRBnk92kIBd,chess,78.63,2796,resigned,lachesisq,87.29,2798,win,tradjabov,E20,Nimzo Indian Defense Kmoch Variation...5.d5 d6 6.e4 O O
7b416aaa-4a35-11ed-be4c-78ac4409ff3c,1665584719,900+2,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5n2/4k3/4p3/4P1pb/2N5/3B1PP1/5B2/2bK4 b - -,gvZJlB!TkA0SbsYImu5QiqJAfAWOegXHAm6XBI9Id747jzIRcj80fd7ZqyHyzHOHsHRzdZ0Zayz0HB?4y4X4BQ4QvKZYK13VjKYZKBZY1KQJKU0RnvJQuCQ8UKY7mA70KtRqpF81tK18gn2MFMVMBuT3AtqzKE8UuBzlEKU8KAlcBI0TIBT0nmcDBn8NCK39owDcmd,chess,86.34,2825,win,tradjabov,82.85,2786,resigned,lachesisq,D02,Queens Pawn Opening Zukertort Variation
f12b83ab-4a3b-11ed-be4c-78ac4409ff3c,1665588067,900+2,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1R6/8/8/8/4r3/k1K5/8/8 w - -,mC0Kgv5QfA9Ieg!Tlt8!ksZJCJTJfeJPcM7RblRUAr3VMF6ElCIRFwUNpxEvdvNvov47ad!?vD1LDKRKCIKwnw75tBQGrkGAjrARsA91ISRCkCLCeCYQdf?!f1!1SIP6IZ54ZK1!CD6RAIRHiyHsD1smgnmB1X48KA8mnfmkAGBvGAvBAGBvXZkIZWIkWZvKZ0Kv0mkcfnvBmicbGAbryGr5GOBHAKHWnu5HuB!9imHJBAJGKZ91ZIW6AB6RwERHBAHYmjYOjX1TICTKCs2MX1GIArKS13IK3VS1rAKIABIGVQO5QR10RU01UR10RV5ZsCGyBuyqulqilsiGVUGqsBqxU208CR87R1781MxqMCqyBuZKEMKEuv892XEKvDK1DLyGLUGOU31MCM9832ORXz80M1RdzC0ZCDZS2Udg1MSKDyKJyqgfMvJSquSRULRJutJALCAItsIRskfakjayvBRIjHIAHPyGPVGIVhIMhcAzBQzHQKMNCBNFBJHzKtzrc6FNtKrz6AzrACrsJINMCuslIBMNKAlkumkrmjryARNFRCyqj5qyBtyqtsFC,chess,93.52,2787,agreed,lachesisq,93.44,2822,agreed,tradjabov,C50,Giuoco Piano Game 4.O O Nf6 5.d3 O O 6.c3
f13b2b0c-8803-11ee-9c40-6cfe544c0428,1700526249,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5rk1/p4p2/1p1qp1p1/4n1Pp/4B3/2r5/P3Q1PP/R4RK1 w - -,mC0SnDXPCK6Xgv!VlBZRft5Zdm90egVLks3Nbl8!lCYIvM2UKR0MDMIBcDBsjs46DKXCtCZKCL7RLC6s,chess,79.23,2880,resigned,tactrics,88.34,3028,win,tradjabov,C00,French Defense La Bourdonnais Variation
54a96c30-8804-11ee-9c40-6cfe544c0428,1700526619,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/p1p5/2k5/8/3Q4/3K4/PP6/8 b - -,bs5Qgv!TmC0SlBZJCKTCft9zclCldl6ZegzGlDGPad8!t3!3vM3UpF1TFNUNDpNMp3TK32MNdt7F2ZQBZ3NMtwFw32MN2w9LfeBkeKPnwnLKnkNMk3JB32MLoELD2TDETKBsKSEDSTDCTs4!gn!9nmCJstJStCSZCX98mt8?XJZ0JK0ZK?ZQ?B,chess,83.54,3036,win,tradjabov,71.32,2875,resigned,tactrics,A00,Van Geet Opening 1...Nc6
2c1bcbfc-880f-11ee-9c40-6cfe544c0428,1700531253,180,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5r1k/5p2/p3p3/1p5q/2bNp1R1/P3P1QP/1r6/3RK3 b - -,kA!Tbs0SgvZJlBYQcM90mu5Zdk3VMF8!AJQJftWOoETEFwXHhg6XpxETvK46iqTCwDZKDK0TtCJCkmTKBK6ImE2UED7YDVYKadKNVDILDYXJgw!2smJAmBLnwU2?UEnjYw,chess,81.15,3036,win,tradjabov,76.96,2927,timeout,abasovn,A17,English Opening Anglo Indian Queens Knight Variation 2...e6 3.Nf3 d5 4.d4
f686cb6a-880f-11ee-9c40-6cfe544c0428,1700531634,180,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3r3k/7p/2p4P/p4bR1/P7/2Q1K3/1PP2P1P/3q4 b - -,lB!Tgv0ScDZRbs5ZmCYQiy7GdlSKDw90fAXHBKRKArHzsmTCluCwmw8!wL0ToEZIEMT7LV2VMV7Thg!?vK6LK191r1GYuIY1ec1iIzWGzX49XrTMgMiacl97luadrs,chess,70.95,2927,win,abasovn,63.45,3036,resigned,tradjabov,A46,Indian Game London System
d60ec409-8810-11ee-9c40-6cfe544c0428,1700531987,180,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r7/pkp2P2/1pn3Q1/2p3P1/1q2B1P1/2r5/P7/2K4R w - -,kA0Kbs5Qgv!Tmu9zdk8!vM3VpFzsjs98ftVMFMKCtmT3nDZRAIRIcqXPec39hp6LoEL3dh7RlBCtmt2Up393kp8up3!9tk90DLusLT0Z31Z61UsqT1RDcbDzbc6XkCqs,chess,77.53,3036,resigned,tradjabov,86.75,2927,win,abasovn,A28,English Opening Four Knights Quiet Line 4...Bb4 5.Qc2 O O
b19c35c0-8811-11ee-9c40-6cfe544c0428,1700532358,180,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/p6p/1p3kp1/3N1br1/8/1B4R1/1K4P1/8 b - -,kA0SbsZJlB!TAJSJcD9RDw8!mu98fm6LgvTCdrCsjsRwpwXPvKYIwELSmH80rk2UHt78ec5QnDIBtHQzkyzicjisH8sy8yBuEM49he1TKQ0YeuSEdJTMJM9DQ0!20JYIJDIMuw2TyrELDJ,chess,89.03,3036,win,tradjabov,83.49,2927,timeout,abasovn,D35,Queens Gambit Declined Queens Knight Variation 3...Nf6
e8e456c9-889f-11ee-9c40-6cfe544c0428,1700593371,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1k5r/p3q3/1p6/4P1Np/b1BP3P/2Pn1QP1/1P3P2/1R4K1 b - -,mC0SlBZJbl!0ksXPgv6Xft5Zeg2UCK92feYIlf3VpF7Yfp86iyIAtk0QpE29ow65cD54dlVNEp90vM79pvQGldY6Mx67DMZ5M070vM5QxD0ZeuQ0DxXQuvZ8vT0!T191kU!VM1V1xMGrU180abQy1SrISJ45dvItJA,chess,93.4,3123,win,jospem,86.08,3026,resigned,tradjabov,C03,French Defense Tarrasch Variation 3...Ne7
