IcbCode,IcbName,ParentIcbCode,IcbLevel,IcbCodePath,IcbNamePath,IcbNameEn
0001,Dầu khí,0,1,0001,Dầu khí,Petroleum
0500,Dầu khí,0001,2,0001/0500,Dầu khí /Dầu khí,Petroleum
0530,Sản xuất Dầu khí,0500,3,0001/0500/0530,Dầu khí /Dầu khí/Sản xuất Dầu khí,Petroleum Production
0533,Sản xuất và Khai thác dầu khí,0530,4,0001/0500/0530/0533,Dầu khí /Dầu khí/Sản xuất Dầu khí/Sản xuất và Khai thác dầu khí,Petroleum exploration & production
0537,Tổ hợp Dầu khí,0530,4,0001/0500/0530/0537,Dầu khí /Dầu khí/Sản xuất Dầu khí/Tổ hợp Dầu khí,Petroleum combination
0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí",0500,3,0001/0500/0570,"Dầu khí /Dầu khí/Thiết bị, Dịch vụ và Phân phối Dầu khí","Petroleum Distribution, Equipment & Services"
0573,Thiết bị và Dịch vụ Dầu khí,0570,4,0001/0500/0570/0573,"Dầu khí /Dầu khí/Thiết bị, Dịch vụ và Phân phối Dầu khí/Thiết bị và Dịch vụ Dầu khí",Petroleum Equipment & Services
0577,Ống dẫn Dầu,0570,4,0001/0500/0570/0577,"Dầu khí /Dầu khí/Thiết bị, Dịch vụ và Phân phối Dầu khí/Ống dẫn Dầu",Oil pipeline
0580,Năng lượng thay thế,0500,3,"0001/0500/0580
",Dầu khí /Dầu khí/Năng lượng thay thế,Alternative energy
0583,Thiết bị năng lượng tái chế,0580,4,0001/0500/0580/0583,Dầu khí /Dầu khí/Năng lượng thay thế/Thiết bị năng lượng tái chế,Alternative energy equipment
0587,Nhiên liệu thay thế,0580,4,0001/0500/0580/0587,Dầu khí /Dầu khí/Năng lượng thay thế/Nhiên liệu thay thế,Alternative fuels
1000,Nguyên vật liệu,0,1,1000,Nguyên vật liệu,Materials
1300,Hóa chất,1000,2,1000/1300,Nguyên vật liệu/Hóa chất,Chemical
1350,Hóa chất,1300,3,1000/1300/1350,Nguyên vật liệu/Hóa chất/Hóa chất,Chemical
1353,"Nhựa, cao su & sợi",1350,4,1000/1300/1350/1353,"Nguyên vật liệu/Hóa chất/Hóa chất/Nhựa, cao su & sợi","Plastics, Rubber & Fibers"
1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1350,4,1000/1300/1350/1357,"Nguyên vật liệu/Hóa chất/Hóa chất/Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Petrochemical products, Argo-pharmaceuticals & Other chemicals"
1700,Tài nguyên Cơ bản,1000,2,1000/1700,Nguyên vật liệu/Tài nguyên Cơ bản,Basic Resources
1730,Lâm nghiệp và Giấy,1700,3,1000/1700/1730,Nguyên vật liệu/Tài nguyên Cơ bản/Lâm nghiệp và Giấy,Forestry & Paper
1733,Lâm sản và Chế biến gỗ,1730,4,1000/1700/1730/1733,Nguyên vật liệu/Tài nguyên Cơ bản/Lâm nghiệp và Giấy/Lâm sản và Chế biến gỗ,Forest products & wood processing
1737,Sản xuất giấy,1730,4,1000/1700/1730/1737,Nguyên vật liệu/Tài nguyên Cơ bản/Lâm nghiệp và Giấy/Sản xuất giấy,Paper production
1750,Kim loại,1700,3,1000/1700/1750,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại,Metal
1753,Nhôm,1750,4,1000/1700/1750/1753,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Nhôm,Aluminium
1755,Kim Loại màu,1750,4,1000/1700/1750/1755,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Kim Loại màu,Non-ferrous Metal
1757,Thép và sản phẩm thép,1750,4,1000/1700/1750/1757,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Thép và sản phẩm thép,Steel and steel products
1770,Khai khoáng,1700,3,1000/1700/1770,Nguyên vật liệu/Tài nguyên Cơ bản/Khai khoáng,Extractive
1771,Khai thác Than,1770,4,1000/1700/1770/1771,Nguyên vật liệu/Tài nguyên Cơ bản/Khai khoáng/Khai thác Than,Coal mining
1773,Đá quý và Kim cương,1770,4,1000/1700/1770/1773,Nguyên vật liệu/Tài nguyên Cơ bản/Khai khoáng/Đá quý và Kim cương,Gems & Diamonds
1775,Khai khoáng,1770,4,1000/1700/1770/1775,Nguyên vật liệu/Tài nguyên Cơ bản/Khai khoáng/Khai khoáng,Extractive
1777,Khai thác vàng,1770,4,1000/1700/1770/1777,Nguyên vật liệu/Tài nguyên Cơ bản/Khai khoáng/Khai thác vàng,Gold mining
1779,Bạch kim & Kim loại quý khác,1770,4,1000/1700/1770/1779,Nguyên vật liệu/Tài nguyên Cơ bản/Khai khoáng/Bạch kim & Kim loại quý khác,Platinum & Other Precious Metals
2000,Công nghiệp,0,1,2000,Công nghiệp,Industry
2300,Xây dựng và Vật liệu,2000,2,2000/2300,Công nghiệp/Xây dựng và Vật liệu,Construction & Building Materials
2350,Xây dựng và Vật liệu,2300,3,2000/2300/2350,Công nghiệp/Xây dựng và Vật liệu/Xây dựng và Vật liệu,Construction & Building Materials
2353,Vật liệu xây dựng & Nội thất,2350,4,2000/2300/2350/2353,Công nghiệp/Xây dựng và Vật liệu/Xây dựng và Vật liệu/Vật liệu xây dựng & Nội thất,Building Materials & Furniture
2357,Xây dựng,2350,4,2000/2300/2350/2357,Công nghiệp/Xây dựng và Vật liệu/Xây dựng và Vật liệu/Xây dựng,Construction
2700,Hàng & Dịch vụ Công nghiệp,2000,2,2000/2700,Công nghiệp/Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services
2710,Hàng không & Quốc phòng,2700,3,2000/2700/2710,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Hàng không & Quốc phòng,Aviation & National defense
2713,Hàng không,2710,4,2000/2700/2710/2713,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Hàng không & Quốc phòng/Hàng không,Aviation
2717,Quốc phòng,2710,4,2000/2700/2710/2717,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Hàng không & Quốc phòng/Quốc phòng,National defense
2720,Hàng công nghiệp,2700,3,2000/2700/2720,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Hàng công nghiệp,Industrial goods
2723,Containers & Đóng gói,2720,4,2000/2700/2720/2723,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Hàng công nghiệp/Containers & Đóng gói,Containers & Packaging
2727,Công nghiệp phức hợp,2720,4,2000/2700/2720/2727,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Hàng công nghiệp/Công nghiệp phức hợp,Complex industry
2730,Điện tử & Thiết bị điện,2700,3,2000/2700/2730,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Điện tử & Thiết bị điện,Electronics & Electrical Equipment
2733,Hàng điện & điện tử,2730,4,2000/2700/2730/2733,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Điện tử & Thiết bị điện/Hàng điện & điện tử,Electrical & Electronic Goods
2737,Thiết bị điện,2730,4,2000/2700/2730/2737,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Điện tử & Thiết bị điện/Thiết bị điện,Electrical equipment
2750,Công nghiệp nặng,2700,3,2000/2700/2750,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Công nghiệp nặng,Heavy industry
2753,Xe tải & Đóng tàu,2750,4,2000/2700/2750/2753,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Công nghiệp nặng/Xe tải & Đóng tàu,Trucks & Shipbuilding
2757,Máy công nghiệp,2750,4,2000/2700/2750/2757,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Công nghiệp nặng/Máy công nghiệp,Industrial machines
2770,Vận tải,2700,3,2000/2700/2770,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải,Transportation sector
2771,Chuyển phát nhanh,2770,4,2000/2700/2770/2771,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải/Chuyển phát nhanh,Express delivery
2773,Vận tải Thủy,2770,4,2000/2700/2770/2773,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải/Vận tải Thủy,Waterway transport
2775,Đường sắt,2770,4,2000/2700/2770/2775,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải/Đường sắt,Railway
