code,name,group
11,Cao Bằng,Tỉnh
12,Lạng Sơn,Tỉnh
13,Bắc Giang,Tỉnh
14,Quảng Ninh,Tỉnh
15,Hải Phòng,Tỉnh
16,Hải Phòng,Tỉnh
17,Thái Bình,Tỉnh
18,Nam Định,Tỉnh
19,Phú Thọ,Tỉnh
20,Thái Nguyên,Tỉnh
21,Yên Bái,Tỉnh
22,Tuyên Quang,Tỉnh
23,Hà Giang,Tỉnh
24,Lào Cai,Tỉnh
25,Lai Châu,Tỉnh
26,Sơn La,Tỉnh
27,Điện Biên,Tỉnh
28,Hòa Bình,Tỉnh
29,Hà Nội,Tỉnh
30,Hà Nội,Tỉnh
31,Hà Nội,Tỉnh
32,Hà Nội,Tỉnh
33,Hà Nội,Tỉnh
34,Hải Dương,Tỉnh
35,Ninh Bình,Tỉnh
36,Thanh Hóa,Tỉnh
37,Nghệ An,Tỉnh
38,Hà Tĩnh,Tỉnh
39,Đồng Nai,Tỉnh
40,Hà Nội,Tỉnh
41,Hồ Chí Minh,Tỉnh
43,Đà Nẵng,Tỉnh
47,Đắk Lắk,Tỉnh
48,Đắk Nông,Tỉnh
49,Lâm Đồng,Tỉnh
50,Hồ Chí Minh,Tỉnh
51,Hồ Chí Minh,Tỉnh
52,Hồ Chí Minh,Tỉnh
53,Hồ Chí Minh,Tỉnh
54,Hồ Chí Minh,Tỉnh
55,Hồ Chí Minh,Tỉnh
56,Hồ Chí Minh,Tỉnh
57,Hồ Chí Minh,Tỉnh
58,Hồ Chí Minh,Tỉnh
59,Hồ Chí Minh,Tỉnh
60,Đồng Nai,Tỉnh
61,Bình Dương,Tỉnh
62,Long An,Tỉnh
63,Tiền Giang,Tỉnh
64,Vĩnh Long,Tỉnh
65,Cần Thơ,Tỉnh
66,Đồng Tháp,Tỉnh
67,An Giang,Tỉnh
68,Kiên Giang,Tỉnh
69,Cà Mau,Tỉnh
70,Tây Ninh,Tỉnh
71,Bến Tre,Tỉnh
72,Bà Rịa - Vũng Tàu,Tỉnh
73,Quảng Bình,Tỉnh
74,Quảng Trị,Tỉnh
75,Thừa Thiên - Huế,Tỉnh
76,Quảng Ngãi,Tỉnh
77,Bình Định,Tỉnh
78,Phú Yên,Tỉnh
79,Khánh Hòa,Tỉnh
80,Chính Phủ,Đặc Biệt
81,Gia Lai,Tỉnh
82,Kon Tum,Tỉnh
83,Sóc Trăng,Tỉnh
84,Trà Vinh,Tỉnh
85,Ninh Thuận,Tỉnh
86,Bình Thuận,Tỉnh
88,Vĩnh Phúc,Tỉnh
89,Hưng Yên,Tỉnh
90,Hà Nam,Tỉnh
92,Quảng Nam,Tỉnh
93,Bình Phước,Tỉnh
94,Bạc Liêu,Tỉnh
95,Hậu Giang,Tỉnh
97,Bắc Kạn,Tỉnh
98,Bắc Giang,Tỉnh
99,Bắc Ninh,Tỉnh
AA,Quân đoàn 1 - Binh đoàn Quyết Thắng,Quân Đoàn
AB,Quân đoàn 2 - Binh đoàn Hương Giang,Quân Đoàn
AC,Quân đoàn 3 - Binh đoàn Tây Nguyên,Quân Đoàn
AD,Quân Đoàn 4 - Binh đoàn Cửu Long,Quân Đoàn
AN,Binh đoàn 15,Quân Đoàn
AP,Lữ đoàn M44,Quân Đoàn
AT,Binh đoàn 12 - Tổng công ty Trường Sơn,Quân Đoàn
AV,Binh đoàn 11 - Tổng Công Ty Xây Dựng Thành An,Quân Đoàn
BB,Bộ binh - Binh chủng Tăng thiết giáp,"Bộ Tư Lệnh, Binh Chủng"
BC,Binh chủng Công binh,"Bộ Tư Lệnh, Binh Chủng"
BH,Binh chủng Hóa học,"Bộ Tư Lệnh, Binh Chủng"
BK,Binh chủng Đặc công,"Bộ Tư Lệnh, Binh Chủng"
BL,Bộ tư lệnh bảo vệ lăng,"Bộ Tư Lệnh, Binh Chủng"
BP,Bộ tư lệnh Pháo binh,"Bộ Tư Lệnh, Binh Chủng"
BS,Lực lượng cảnh sát biển VN,"Bộ Tư Lệnh, Binh Chủng"
BT,Bộ tư lệnh Thông tin liên lạc,"Bộ Tư Lệnh, Binh Chủng"
BV,Tổng Công ty Dịch vụ bay,"Bộ Tư Lệnh, Binh Chủng"
CA,Tổng công ty 36 - Bộ Quốc Phòng,Tổng Cục
CB,Ngân hàng TMCP Quân Đội - Bộ Quốc Phòng,Tổng Cục
CC,Tổng công ty xăng dầu quân đội - Bộ Quốc Phòng,Tổng Cục
CH,Bộ phận chính trị của Khối văn phòng - Bộ Quốc Phòng,Tổng Cục
CM,Tổng công ty Thái Sơn - Bộ Quốc Phòng,Tổng Cục
CP,Tổng Công Ty 319 - Bộ Quốc Phòng,Tổng Cục
CV,Tổng công ty xây dựng Lũng Lô - Bộ Quốc Phòng,Tổng Cục
DB,Tổng công ty Đông Bắc - Bộ Quốc Phòng,Tổng Cục
HA,Học viện Quốc phòng,Học Viện
HB,Học viện Lục quân,Học Viện
HC,Học viện Chính trị quân sự,Học Viện
HD,Học viện Kỹ thuật Quân sự,Học Viện
HE,Học viện Hậu cần,Học Viện
HH,Học viện quân y,Học Viện
HN,Học viện chính trị Quân sự Bắc Ninh,Học Viện
HQ,Trường Sỹ quan lục quân II,Học Viện
HT,Trường Sỹ quan lục quân I,Học Viện
KA,Quân khu 1,Quân Khu
KB,Quân khu 2,Quân Khu
KC,Quân khu 3,Quân Khu
KD,Quân khu 4,Quân Khu
KK,Quân khu 9,Quân Khu
KN,Đặc khu Quảng Ninh,Quân Khu
KP,Quân khu 7,Quân Khu
KT,Quân khu Thủ đô,Quân Khu
KV,Quân khu 5,Quân Khu
ND,Tổng công ty Đầu tư Phát triển nhà - Bộ Quốc Phòng,Tổng Cục
NG,Ngoại giao,Đặc Biệt
NN,Nước ngoài,Đặc Biệt
PA,Cục đối ngoại BQP,Cơ Quan Đặc Biệt
PC,Tổng cục tình báo,Cơ Quan Đặc Biệt
PK,Ban Cơ yếu - Bộ Quốc phòng,Cơ Quan Đặc Biệt
PM,Viện thiết kế - Bộ Quốc phòng,Cơ Quan Đặc Biệt
PP,Bệnh viện 108 - Bộ Quốc phòng,Cơ Quan Đặc Biệt
PQ,Trung tâm khoa học và kỹ thuật QS,Cơ Quan Đặc Biệt
PT,Cục tài chính - Bộ Quốc phòng,Cơ Quan Đặc Biệt
PX,Trung tâm nhiệt đới Việt – Nga,Cơ Quan Đặc Biệt
PY,Cục Quân Y - Bộ Quốc phòng,Cơ Quan Đặc Biệt
QA,Quân chủng Phòng không không quân,Quân Chủng
QB,Bộ tư lệnh Bộ đội biên phòng,Quân Chủng
QH,Quân chủng Hải quân,Quân Chủng
TC,Tổng cục Chính trị,Tổng Cục
TH,Tổng cục Hậu cần,Tổng Cục
TK,Tổng cục Công nghiệp quốc phòng,Tổng Cục
TM,Bộ Tổng tham mưu,Tổng Cục
TN,Tổng cục tình báo quân đội,Tổng Cục
TT,Tổng cục kỹ thuật,Tổng Cục
VB,Khối văn phòng Binh chủng - Bộ Quốc Phòng,Tổng Cục
VK,Ủy ban tìm kiếm cứu nạn - Bộ Quốc Phòng,Tổng Cục
VT,Tập đoàn Viettel - Bộ Quốc Phòng,Tổng Cục
