uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
633db453-e41f-11ec-85a4-78ac4409ff3c,1654359518,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/5rk1/2P3p1/p1R4p/3rq2P/2Q2RP1/5PK1/8 b - -,lB!Tgv2UblZJjr92cj8!muYQkA6Efm0Seg5Zac98pxEvlvTCrzWOiy29drCRvlJAlARAmAZPAm7Jrk9zuCJRkrOGfd47jaRDmvPZowDRgoR0xF3NcbZPdtP6rj6RbhRAjcXHhdzqck76vmqztvARmtHyky87dcRHBJSJCJ08JQHBaB7BtA8CA1!2ya69cAzIAI91as,chess,88.85,2658,win,chesswarrior7197,85.1,2446,timeout,rakhmanov_aleksandr,A48,Indian Game Knights Variation East Indian Defense 3.Nbd2 d5
59ca8c23-e422-11ec-85a4-78ac4409ff3c,1654360561,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/2R3p1/1k1P2P1/2p3B1/KP5P/2r5/r7 w - -,mCYIgv2UlBIBvB92kA5Qcu7PBrP7bs!TfmZReg8!nv6SacTZdlWGvDGyrBQBuB2BlB7PBPZPsJSJAJ96gn1Lnu!2oELCuCPZEMZICu69cA9Lfd3VmEL1pxVMDM49dl1flmfbAkXHul91ls1Dm0290WHzslzriryrkIRIlsbcsrIAriDfW4904W0RWZRIZYIPYQPHjrckiqfa,chess,84.2,2524,checkmated,hansontwitch,93.57,2663,win,chesswarrior7197,B27,Sicilian Defense Hyperaccelerated Dragon Fianchetto Variation 3...cxd4 4.Nxd4 Bg7 5.c4
674b3eeb-e425-11ec-85a4-78ac4409ff3c,1654362102,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4R3/pp5R/2p1Np2/5k2/7p/4n3/P4qPK/8 w - -,mC0Kgv!TvKZRKvTClBRJft6Leg90bl8!feCRlfLUfwYQcD5ZvKZKBKRAdc7Pab0Iem48pF1TtU3UKSAKjzIRkAJAwCKtcAtDS091A1!1CR1!mu80u0PB08!3RCBZbeDJ84JzCIZle8UMISMF47legpen7Z3UZ2UL2ZzJZ3Ju,chess,80.0,2656,resigned,chesswarrior7197,83.07,2730,win,jefferyx,C42,Petrovs Defense Classical Attack...6.Bd3 Bf5 7.O O Be7
29a6ec61-e429-11ec-85a4-78ac4409ff3c,1654363537,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/4p3/2p4k/2Rn4/4N1P1/1P3P2/P1P3r1/3K4 b - -,mCYIbs5Qgv2UlBIBvB92BQXQfA7Yeg!TfeZRcDTZdl45DV8!V2!2jrZTadYGpx6SAS1SCKRKsyGldl97l757eK7dgp21KmTZysdBsC3VnvSKpwZTCIUMwnBJItTZmCWGCAJRxF1TFMVMnmTLtnZPoELUAIPJnCJDmuRdIKdeulemldmoKMUVMGDJGI,chess,89.86,2599,win,shimastream,84.23,2646,resigned,chesswarrior7197,B23,Closed Sicilian Defense Traditional Line 3.Nf3 g6 4.d4 cxd4
3a06a330-e42c-11ec-85a4-78ac4409ff3c,1654365004,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3q4/4Q3/2k1P1K1/1p1p2Q1/3P4/1P6/8/8 b - -,kAYQbsZJlB!TAJQJcD5QmuWOft6EnvENgm0SpFNUoEUtdt9RFNRDuD3Ven7RacXHtu8ZmwRzsm46EMT8ck8RjrQ0hc0LuK6kckzGMVLVK2G7DLRLwLVL21ZRmwLw1DRZnw?3NVZ8kQ30DT8ZQO75wo5XV3XO3~Oiowib?FbgwDgcDEcgFwgbEM03wEbcvDcQMU30DLQRLSZQEMR7T0,chess,89.61,2651,win,chesswarrior7197,83.91,2502,resigned,fghsmn,D10,Slav Defense 3.Nc3
3da126e2-e42f-11ec-85a4-78ac4409ff3c,1654366287,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,7k/1p3Q2/p3p1p1/4P3/4qPPK/1P6/P7/8 b - -,mC0SlBZJCKYIks5Qgv6Zfm!0eg0Uow1TKT7TcuIBvB9RblQBsB8!nDU0lvZ8vK0LunT0mtRKBKJBtC8Qdt47acQCtC3Nfd7Jdt97px08cdWOjr8HgpHICm2UdlLutBufmfJBnB7BfnBlnlIQwE!1pwNExE12l7QC7T23T13?wF,chess,94.4,2657,win,chesswarrior7197,86.7,2577,resigned,daro94,C02,French Defense Advance Paulsen Euwe Variation 6.Be2 Nge7 7.O O Ng6 8.g3
483fc84a-e432-11ec-85a4-78ac4409ff3c,1654367561,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3r4/6K1/p6P/R4p2/1P2bP2/Pk1p4/8/8 w - -,gvYImC2UlBIBvB92bs5Qcu!TfA8!Ar98pxZRegQGdlWOuV2?fe7YsJTJrJ0SJrXHks6XBv47acGArAYAjrA6VM7ZxF64lu?2FNUNvB86MV6IV2!2rzIKBvKCuM2?MT?!TM!9MV98vMCEM387ow7YsAEAVN4?NF1L3T?FwFZ2gp2UcAHAeSYQFNUVpwAsSuVTusQHwDXCDMT1nDRJMU19U297iqJBsIHyIGyrNVBt,chess,85.39,2564,resigned,sanan_sjugirov,87.19,2663,win,chesswarrior7197,B27,Sicilian Defense 2.Nf3
f6a0ddba-e435-11ec-85a4-78ac4409ff3c,1654369211,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,7k/6p1/3p1pPp/1p1Qp2P/2n1P3/8/1R2K3/r4q2 w - -,mCYIgvZRlBIBvB!Tft0KBv5QkA90bs8!egTZsJZItk6EcuISpxEvdv0MvEMunuQ0jzWGiq0QxF!?ktSYJPGzP4Y4fb7PEvzrbf4YvxYOadOItbPYoEQGdcIyEMGAFNXHMU1Tbt3VfnrjcfY0nk0XfbAqkjyjbjXQjrqAxSAugnuAnm94SJ4imeiaemaimeQPrjPgtfiaemgf,chess,71.43,2656,checkmated,chesswarrior7197,82.95,2733,win,bigfish1995,B54,Sicilian Defense Open Variation 4...Nf6 5.Bd3
e22f8845-e438-11ec-85a4-78ac4409ff3c,1654370452,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/2Q1q1k1/r1B2pp1/4p2p/4P2P/3PNPPb/2R3K1/1r6 w - -,gvYIjr!Tcj5QkAZJAJTJmu1Tlt0Kiq90bl8!fm6Seg7Zdk96acWGlCGyryJPCsQGvlZ8cbSZlAPysJ07jsZQsGQJmE65G787uCJ1bH18ES!?HrXHAu4OSJ8Zfb7YpFyPrs56bcPysr2Uow?2gp3NklyPrsYRljPyjlyscsZSljSZsr65poHzuAR0jbZyrjyQAu0RuAR9qz5zbc95jkzbcuQZuI57AuZEnvEZIY70JQZx,chess,76.67,2523,resigned,harsha_bharathakoti,77.61,2661,win,chesswarrior7197,A04,Reti Opening Nimzo Larsen Variation 2...c5 3.Bb2
4181f623-e4f1-11ec-85a4-78ac4409ff3c,1654450013,600+2,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4k3/8/6QK/4P3/8/8/8/q7 b - -,mCYIgv0Sks!TCKTJfAJPArZRlBIBsB5Qeg90dm8!fd6ZbsQzsCZQiqQJrJzJcMRKBK3VM070ac46CR6cdc97pF7ZowZYcd0ZvBWOgoZymvP6BL6PdByQLuJunuPZvQYQR1QY17ZKwEYkowkjBCK17Sjrqy1RCKRASIAKIr2MFMVMyGKAwv!1vC1TCBAKrIKQBJQGuCT0CKGQIXQzJCzQXIOGCLQBLMBSIS0SMVGyEMyqMUqiU2i~2~S0!2082?80?T08TQ80QR08RU80UM08MU80UT08TU,chess,96.95,2817,repetition,levonaronian,97.02,2664,repetition,chesswarrior7197,B22,Alapin Sicilian Defense 2...e6 3.Nf3
