region,subregion,state_level,state_admission_date,state_abbreviation,state,state_capital,state_largest,no,name,gender,party,start_date,end_date
South,East South Central,state,1819-12-14,AL,Alabama,Montgomery,Huntsville,,,,,,
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,1,William A. Egan,,Democratic,03-01-1959,05-12-1966
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,2,Wally Hickel,,Republican,05-12-1966,24-01-1969
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,3,Keith Harvey Miller,,Republican,24-01-1969,05-12-1970
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,(1),William A. Egan,,Democratic,05-12-1970,02-12-1974
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,4,Jay Hammond,,Republican,02-12-1974,06-12-1982
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,5,Bill Sheffield,,Democratic,06-12-1982,01-12-1986
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,6,Steve Cowper,,Democratic,01-12-1986,03-12-1990
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,(2),Wally Hickel,,Alaskan Independence,03-12-1990,05-12-1994
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,7,Tony Knowles,,Democratic,05-12-1994,02-12-2002
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,8,Frank Murkowski,,Republican,02-12-2002,04-12-2006
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,9,Sarah Palin,,Republican,04-12-2006,26-07-2009
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,10,Sean Parnell,,Republican,26-07-2009,01-12-2014
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,11,Bill Walker,,Independent,01-12-2014,03-12-2018
West,Pacific,state,1959-01-03,AK,Alaska,Juneau,Anchorage,12,Mike Dunleavy,,Republican,03-12-2018,incumbent
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,1,George W. P. Hunt,,Democratic,14-02-1912,01-01-1917
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,2,Thomas Edward Campbell,,Republican,01-01-1917,25-12-1917
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,(1),George W. P. Hunt,,Democratic,25-12-1917,06-01-1919
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,(2),Thomas Edward Campbell,,Republican,06-01-1919,01-01-1923
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,(1),George W. P. Hunt,,Democratic,01-01-1923,07-01-1929
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,3,John Calhoun Phillips,,Republican,07-01-1929,05-01-1931
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,1,George W. P. Hunt,,Democratic,05-01-1931,02-01-1933
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,4,Benjamin Baker Moeur,,Democratic,02-01-1933,04-01-1937
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,5,Rawghlie Clement Stanford,,Democratic,04-01-1937,02-01-1939
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,6,Robert Taylor Jones,,Democratic,02-01-1939,06-01-1941
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,7,Sidney Preston Osborn,,Democratic,06-01-1941,25-05-1948
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,8,Dan Edward Garvey,,Democratic,25-05-1948,01-01-1951
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,9,John Howard Pyle,,Republican,01-01-1951,03-01-1955
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,10,Ernest McFarland,,Democratic,03-01-1955,05-01-1959
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,11,Paul Fannin,,Republican,05-01-1959,04-01-1965
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,12,Samuel Pearson Goddard Jr.,,Democratic,04-01-1965,02-01-1967
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,13,Jack Williams,,Republican,02-01-1967,06-01-1975
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,14,Raúl Héctor Castro,,Democratic,06-01-1975,20-10-1977
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,15,Wesley Bolin,,Democratic,20-10-1977,04-03-1978
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,16,Bruce Babbitt,,Democratic,04-03-1978,05-01-1987
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,17,Evan Mecham,,Republican,05-01-1987,04-04-1988
West,Mountain,state,1912-02-14,AZ,Arizona,Phoenix,Phoenix,18,Rose Mofford,,Democratic,04-04-1988,06-03-1991
