uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
6f8bc586-5105-11ec-9719-09ff3c010001,1638184803,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2r5/p4pkp/1p4p1/5P2/2P1N3/1P2P3/P4P1P/3R2K1 b - -,gvYImu!TjrXPcj6XkA2UjT0Tbs92ow8!foTLeg5Odm98fdOYacZJlBLDwDIBvB2BdBYSBJXJsJSIcd46mj8SjB7FDLSCoCICBCFCJT!2TC,chess,96.08,2750,win,veselintopalov359,85.42,2804,resigned,grandelicious,A04,Reti Opening Sicilian Invitation 2.e3 Nf6 3.b3
d7eade08-5106-11ec-9719-09ff3c010001,1638185678,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2R3k1/4rpp1/7p/5B2/p6P/8/P2ppK2/8 b - -,gv0SvM7MltM7kAYIbsWOow5Qfo3Vmu!TtB7YBJQKjr9RnDKUeg8!uCSKsmXHpFU0clOGmcGyctHArA6Oac45DKRKtKYKlDKBdBIBD595fdZRCKRKJR0LAIKCoxLwIQwmgnmcdcCunvumQY58vnBtRZTZxZ80ZLtlY~O6c6,chess,73.54,2750,win,veselintopalov359,72.87,1105,timeout,kenshanegm,A04,Reti Opening Queens Gambit Invitation
5e746ff0-5108-11ec-9719-09ff3c010001,1638186321,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/1N1B1pk1/6pp/p7/8/5P1P/3p2PK/r7 w - -,mC5QgvQzlBziaiYQbsZRpx2Uft92cuWOegXHBJHzsyQIkA!Tjr8!CKTZKR0RuDZTDM3VMT2Tfe!2im6Zdk45vlTBlCZyryzrkbrjed5ztk98dBIBml7PktOGnv85gpzyAIRIJRyabjPjlj5jCIjPRZPRtHBtIXRZHZtl,chess,0.0,1105,timeout,kenshanegm,0.0,2750,win,veselintopalov359,B00,Nimzowitsch Defense Declined
fb7e3320-5109-11ec-9719-09ff3c010001,1638186739,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1k1r4/1b3p1Q/5p2/qp1p3P/1n1P4/bP3NPB/4PPK1/R1R5 b - -,gvZJlt0SvM90M3?3owYIfo5Qbl7YlvXPkA!TcD0RDM6XMT2TAJSJac86tBIAjrRzefPHiyWOyHOHpFAsdtYGt3zqcaQzFNskox65fok~hc,chess,87.15,2750,win,veselintopalov359,78.03,1105,timeout,kenshanegm,A06,Reti Opening Old Indian Attack
0eb27866-510b-11ec-9719-09ff3c010001,1638187179,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5k1r/1p4p1/5pQ1/p2pP2p/Pb1B2bP/4r1N1/1q3PP1/3RKB1R w K -,mC!TbsTCsC5QgvQBvB0KBmZJCw3NpF6Elt90cM1TMlYQksWGiy7PluQItBIBsB47dk76kU89BKPjuB0zms6sadsu,chess,67.12,1105,checkmated,kenshanegm,70.97,2750,win,veselintopalov359,B02,Alekhines Defense 2.Nc3
4542ddba-510c-11ec-9719-09ff3c010001,1638187894,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,R2b4/6pk/3r2p1/6P1/1p1P1P2/1B2PK2/8/8 b - -,gvZJjz6EvKENoENUKU3Upx0KkAJBfoYQiq5ZltWGzH7YblGyab!TEMTNlCNDcDKDdcZICI9IxFYRba8!ov98hg80gEQHAH0Yef4GcDRDEDGHvJIRJAHrDBrqaqRqB7!374q04yXPmu0RfmYXyORpAJXZJCpYOWZ0CJ1TtBTMFMY7W40ZJSZRnDPHSrHzmv,chess,89.64,2750,win,veselintopalov359,80.49,2804,timeout,grandelicious,A06,Reti Opening Santasieres Folly
8a5f51b6-510d-11ec-9719-09ff3c010001,1638188395,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1Q6/2pk4/5p2/p2pqPp1/2p1b3/2P3R1/PP3R1K/8 b - -,mC0Kgv5QlBKBfA!TCKZJAHTCvB6ZHQXQeg9InvCMcuIPvDMCblCldl76Br8!rIZLks98px3NuBPIBI8SgpSUfnLCI06L0FQIagWGluIAFMLSoENExE45DLSKMDKTuxUVDV2VEMVMxNTKgw1TNU!9U3983!8Z!5,chess,86.64,2804,win,grandelicious,85.82,2750,resigned,veselintopalov359,C55,Scotch Game Scotch Gambit Dubois Reti Advance Variation 5...d5
b0b9c86b-510e-11ec-9719-09ff3c010001,1638188829,180+2,blitz,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,k7/5K2/6p1/5p2/5P1p/4P2P/5P2/8 b - -,gvZJjz6EcjEvov!Tmu2UkAYQAJQJfH5Qdy7ZjT0Tbs92HQXQzHQIHPZysyWPyP47iyTLab2KemKYyG80hcIAltAtmtYPbP7ZGO?4tBZRcY0SYQRQPQSZBJ45OW54QTZ0TO3NvDNFpx0ZJKZ0KJ0ZOGZYJKYPGaPXKT47W~74a4X4T1,chess,93.46,2750,win,veselintopalov359,85.43,2804,resigned,grandelicious,A06,Reti Opening Santasieres Folly
232123b8-3542-11eb-8d85-0069e4010001,1606987158,900+10,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/4k3/8/1pb2rpp/8/1P1R2BP/4K1P1/8 w - -,mCYIgvZRfH6ZHZ7ZkA!Tbs2UlBIBvB92nv8!cu5QegWOdtQKtm46jrXHsJTJAJ0SJS1Sad6sghKQpx96vDRJBvZ8unQ0vMsQmEJCMC0LfeQkemSKdekmEm8QDK2Khg67CMKTMvQJmSJSeS7RSe!1gfRJfm1SecSZiyL0yHOHck0Qki3NneQBvBTBelBPlDJLilZ0DwUMltPItv0SvtS0tv0SvtS0,chess,98.73992611831099,2775,repetition,grischuk,98.74111049627412,2762,repetition,veselintopalov359,B52,Sicilian Defense Canal Main Line Sokolsky Variation...9.f3 O O 10.Be3 Nc6
323cf617-354a-11eb-8d85-0069e4010001,1606989814,900+10,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/6k1/8/8/6B1/b7/6K1/8 b - -,lBZJkAYQgv!Tmu6EpxENAJNvdvQJft5Qeg0Sbs9Rfd8!cl46leWOac70vm6YnDTZDL2ULS0SmvZPen1LiqQ0ck96dc!2oE69smYkckLEvE0LuCJCECS1CvPJtALuv191nuJuA1uk1JkBmBRIJXIBgoBjXOjqOt3NtkUMkdMExENEdE,chess,97.50820069794308,2757,insufficient,veselintopalov359,98.53030410677168,2746,insufficient,chesspanda123,D11,Slav Defense Modern Quiet Pin Defense 5.h3 Bh5 6.cxd5 Bxf3
