country,branch_no,branch,department_no,department,head,head_no,name,full_name,party,state,district,president,start_date,end_date,birth_age,birth_state,birth_country,education
United States,1,legistrative,2,House of Representatives,Speaker,77.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,78.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,79.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,80.0,Joseph W. Martin Jr.,,Republican,Massachusetts,14,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,81.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,82.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,83.0,Joseph W. Martin Jr.,,Republican,Massachusetts,14,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,84.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,85.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,86.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,87.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,education
United States,1,legistrative,2,House of Representatives,Speaker,87.1,John W. McCormack,,Democratic,Massachusetts,12,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,88.0,John W. McCormack,,Democratic,Massachusetts,9,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,89.0,John W. McCormack,,Democratic,Massachusetts,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,90.0,John W. McCormack,,Democratic,Massachusetts,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,91.0,John W. McCormack,,Democratic,Massachusetts,9,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,92.0,Carl Albert,,Democratic,Oklahoma,3,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,93.0,Carl Albert,,Democratic,Oklahoma,3,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,94.0,Carl Albert,,Democratic,Oklahoma,3,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,95.0,Tip O'Neill,,Democratic,Massachusetts,8,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,96.0,Tip O'Neill,,Democratic,Massachusetts,8,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,97.0,Tip O'Neill,,Democratic,Massachusetts,8,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,98.0,Tip O'Neill,,Democratic,Massachusetts,8,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,99.0,Tip O'Neill,,Democratic,Massachusetts,8,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,100.0,Jim Wright,,Democratic,Texas,12,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,101.0,Jim Wright,,Democratic,Texas,12,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,101.1,Tom Foley,,Democratic,Washington,5,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,102.0,Tom Foley,,Democratic,Washington,5,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,103.0,Tom Foley,,Democratic,Washington,5,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,104.0,Newt Gingrich,,Republican,Georgia,6,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,105.0,Newt Gingrich,,Republican,Georgia,6,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,106.0,Dennis Hastert,,Republican,Illinois,14,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,107.0,Dennis Hastert,,Republican,Illinois,14,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,108.0,Dennis Hastert,,Republican,Illinois,14,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,109.0,Dennis Hastert,,Republican,Illinois,14,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,110.0,Nancy Pelosi,,Democratic,California,8,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,111.0,Nancy Pelosi,,Democratic,California,8,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,112.0,John Boehner,,Republican,Ohio,8,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,113.0,John Boehner,,Republican,Ohio,8,,,,,,,doctorate
United States,1,legistrative,2,House of Representatives,Speaker,114.0,John Boehner,,Republican,Ohio,8,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,114.1,Paul Ryan,,Republican,Wisconsin,1,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,115.0,Paul Ryan,,Republican,Wisconsin,1,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,116.0,Nancy Pelosi,,Democratic,California,12,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,117.0,Nancy Pelosi,,Democratic,California,12,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,118.0,Kevin McCarthy,,Republican,California,20,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,118.1,Mike Johnson,,Republican,Louisiana,4,,,,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,1.0,Charles Hamlin,,,,,Woodrow Wilson,1914-08-10,1916-08-09,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,2.0,William Harding,,,,,Woodrow Wilson,1916-08-10,1922-08-09,,,,law
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,3.0,Daniel Crissinger,,,,,Warren G. Harding,1923-05-01,1927-09-15,,,,law
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,4.0,Roy Young,,,,,Calvin Coolidge,1927-10-04,1930-08-31,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,5.0,Eugene Meyer,,,,,Herbert Hoover,1930-09-16,1933-05-10,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,6.0,Eugene Black,,,,,Franklin D. Roosevelt,1933-05-19,1934-08-15,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,7.0,Marriner Eccles,,,,,Franklin D. Roosevelt,1934-11-15,1948-01-31,,,,law
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,8.0,Thomas McCabe,,,,,Harry S. Truman,1948-04-15,1951-03-31,,,,master
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,9.0,Bill Martin,,,,,Harry S. Truman,1951-04-02,1970-01-31,,,,law
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,10.0,Arthur Burns,,,,,Richard Nixon,1970-02-01,1978-01-31,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,11.0,William Miller,,,,,Jimmy Carter,1978-03-08,1979-08-06,,,,law
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,12.0,Paul Volcker,,,,,Jimmy Carter,1979-08-06,1987-08-11,,,,education
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,13.0,Alan Greenspan,,,,,Ronald Reagan,1987-08-11,2006-01-31,,,,none
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,14.0,Ben Bernanke,,,,,George W. Bush,2006-02-01,2014-01-31,,,,master
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,15.0,Janet Yellen,,,,,Barack Obama,2014-02-03,2018-02-03,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Chair of the Federal Reserve Bank,16.0,Jay Powell,,,,,Donald Trump,2018-02-05,incumbent,,,,bachelor
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,William Harding,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Charles Hamlin,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Frederic Delano,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Paul Warburg,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Adolph Miller,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Albert Strauss,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Henry Moehlenpah,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Edmund Platt,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,David Wills,,,,,Woodrow Wilson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,John Mitchell,,,,,Warren G. Harding,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Milo Campbell,,,,,Warren G. Harding,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Daniel Crissinger,,,,,Warren G. Harding,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Edward Cunningham,,,,,Warren G. Harding,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,George James,,,,,Warren G. Harding,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Roy Young,,,,,Calvin Coolidge,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Eugene Meyer,,,,,Herbert Hoover,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Wayland Magee,,,,,Herbert Hoover,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Eugene Black,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Menc Szymczak,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,John Thomas,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Marriner Eccles,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Ronald Ransom,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,John McKee,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Joseph Broderick,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Ralph Morrison,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Chester Davis,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Ernest Draper,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Rudolph Evans,,,,,Franklin D. Roosevelt,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Jake Vardaman,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Larry Clayton,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Thomas McCabe,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Edward Norton,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Oliver S. Powell,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Bill Martin,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,James Robertson,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Abbot Mills,,,,,Harry S. Truman,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Canby Balderston,,,,,Dwight D. Eisenhower,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Paul Miller,,,,,Dwight D. Eisenhower,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Charles Shepardson,,,,,Dwight D. Eisenhower,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,George King,,,,,Dwight D. Eisenhower,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,George Mitchell,,,,,John F. Kennedy,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Dewey Daane,,,,,John F. Kennedy,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Sherman Maisel,,,,,Lyndon B. Johnson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Andrew Brimmer,,,,,Lyndon B. Johnson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,William Sherrill,,,,,Lyndon B. Johnson,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Arthur Burns,,,,,Richard Nixon,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,John Sheehan,,,,,Richard Nixon,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Jeffrey Bucher,,,,,Richard Nixon,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Robert Holland,,,,,Richard Nixon,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Henry Wallich,,,,,Richard Nixon,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Philip Coldwell,,,,,Gerald Ford,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Philip Jackson,,,,,Gerald Ford,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Charles Partee,,,,,Gerald Ford,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Stephen Gardner,,,,,Gerald Ford,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,David Lilly,,,,,Gerald Ford,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,William Miller,,,,,Jimmy Carter,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Nancy Teeters,,,,,Jimmy Carter,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Emmett Rice,,,,,Jimmy Carter,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Frederick Schultz,,,,,Jimmy Carter,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Paul Volcker,,,,,Jimmy Carter,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Lyle Gramley,,,,,Jimmy Carter,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Preston Martin,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Martha Seger,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Wayne Angell,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Manley Johnson,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Robert Heller,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Edward W. Kelley,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Alan Greenspan,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,John LaWare,,,,,Ronald Reagan,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,David Mullins,,,,,George H. W. Bush,,,,,,
United States,2,executive,-1,Federal Reserve Bank,Governor of the Federal Reserve Bank,,Larry Lindsey,,,,,George H. W. Bush,,,,,,
