country,branch_no,branch,department_no,department,head,head_no,name,full_name,party,state,district,president,start_date,end_date,birth_age,birth_state,birth_country,education
United States,1,legistrative,2,House of Representatives,Speaker,1.0,Frederick Muhlenberg,,Federalist,Pennsylvania,at-large,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,2.0,Jonathan Trumbull Jr.,,Federalist,Connecticut,at-large,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,3.0,Frederick Muhlenberg,,Democratic-Republican,Pennsylvania,at-large,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,4.0,Jonathan Dayton,,Federalist,New Jersey,at-large,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,5.0,Jonathan Dayton,,Federalist,New Jersey,at-large,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,6.0,Theodore Sedgwick,,Federalist,Massachusetts,1,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,7.0,Nathaniel Macon,,Democratic-Republican,North Carolina,5,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,8.0,Nathaniel Macon,,Democratic-Republican,North Carolina,6,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,9.0,Nathaniel Macon,,Democratic-Republican,North Carolina,6,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,10.0,Joseph Bradley Varnum,,Democratic-Republican,Massachusetts,4,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,11.0,Joseph Bradley Varnum,,Democratic-Republican,Massachusetts,4,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,12.0,Henry Clay,,Democratic-Republican,Kentucky,5,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,13.0,Henry Clay,,Democratic-Republican,Kentucky,2,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,13.1,Langdon Cheves,,Democratic-Republican,South Carolina,1,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,14.0,Henry Clay,,Democratic-Republican,Kentucky,2,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,15.0,Henry Clay,,Democratic-Republican,Kentucky,2,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,16.0,Henry Clay,,Democratic-Republican,Kentucky,2,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,16.1,John W. Taylor,,Democratic-Republican,New York,11,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,17.0,Philip P. Barbour,,Democratic-Republican,Virginia,11,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,18.0,Henry Clay,,Democratic-Republican,Kentucky,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,19.0,John W. Taylor,,National Republican,New York,17,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,20.0,Andrew Stevenson,,Jacksonian,Virginia,9,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,21.0,Andrew Stevenson,,Jacksonian,Virginia,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,22.0,Andrew Stevenson,,Jacksonian,Virginia,9,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,23.0,Andrew Stevenson,,Jacksonian,Virginia,11,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,23.1,John Bell,,Jacksonian,Tennessee,7,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,24.0,James K. Polk,,Jacksonian,Tennessee,9,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,25.0,James K. Polk,,Democratic,Tennessee,9,,,,,,,doctorate
United States,1,legistrative,2,House of Representatives,Speaker,26.0,Robert M. T. Hunter,,Whig,Virginia,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,27.0,John White,,Whig,Kentucky,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,28.0,John Winston Jones,,Democratic,Virginia,6,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,29.0,John Wesley Davis,,Democratic,Indiana,6,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,30.0,Robert Charles Winthrop,,Whig,Massachusetts,1,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,31.0,Howell Cobb,,Democratic,Georgia,6,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,32.0,Linn Boyd,,Democratic,Kentucky,1,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,33.0,Linn Boyd,,Democratic,Kentucky,1,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,34.0,Nathaniel P. Banks,,American,Massachusetts,7,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,35.0,James Lawrence Orr,,Democratic,South Carolina,5,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,36.0,William Pennington,,Republican,New Jersey,5,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,37.0,Galusha A. Grow,,Republican,Pennsylvania,14,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,38.0,Schuyler Colfax,,Republican,Indiana,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,39.0,Schuyler Colfax,,Republican,Indiana,9,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,40.0,Schuyler Colfax,,Republican,Indiana,9,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,40.1,Theodore M. Pomeroy,,Republican,New York,24,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,41.0,James G. Blaine,,Republican,Maine,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,42.0,James G. Blaine,,Republican,Maine,3,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,43.0,James G. Blaine,,Republican,Maine,3,,,,,,,education
United States,1,legistrative,2,House of Representatives,Speaker,44.0,Michael C. Kerr,,Democratic,Indiana,3,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,44.1,Samuel J. Randall,,Democratic,Pennsylvania,3,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,45.0,Samuel J. Randall,,Democratic,Pennsylvania,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,46.0,Samuel J. Randall,,Democratic,Pennsylvania,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,47.0,J. Warren Keifer,,Republican,Ohio,8,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,48.0,John G. Carlisle,,Democratic,Kentucky,6,,,,,,,master
United States,1,legistrative,2,House of Representatives,Speaker,49.0,John G. Carlisle,,Democratic,Kentucky,6,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,50.0,John G. Carlisle,,Democratic,Kentucky,6,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,51.0,Thomas Brackett Reed,,Republican,Maine,1,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,52.0,Charles Frederick Crisp,,Democratic,Georgia,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,53.0,Charles Frederick Crisp,,Democratic,Georgia,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,54.0,Thomas Brackett Reed,,Republican,Maine,1,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,55.0,Thomas Brackett Reed,,Republican,Maine,1,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,56.0,David B. Henderson,,Republican,Iowa,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,57.0,David B. Henderson,,Republican,Iowa,3,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,58.0,Joseph Gurney Cannon,,Republican,Illinois,18,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,59.0,Joseph Gurney Cannon,,Republican,Illinois,18,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,60.0,Joseph Gurney Cannon,,Republican,Illinois,18,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,61.0,Joseph Gurney Cannon,,Republican,Illinois,18,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,62.0,Champ Clark,,Democratic,Missouri,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,63.0,Champ Clark,,Democratic,Missouri,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,64.0,Champ Clark,,Democratic,Missouri,9,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,65.0,Champ Clark,,Democratic,Missouri,9,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,66.0,Frederick H. Gillett,,Republican,Massachusetts,2,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,67.0,Frederick H. Gillett,,Republican,Massachusetts,2,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,68.0,Frederick H. Gillett,,Republican,Massachusetts,2,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,69.0,Nicholas Longworth,,Republican,Ohio,1,,,,,,,law
United States,1,legistrative,2,House of Representatives,Speaker,70.0,Nicholas Longworth,,Republican,Ohio,1,,,,,,,doctorate
United States,1,legistrative,2,House of Representatives,Speaker,71.0,Nicholas Longworth,,Republican,Ohio,1,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,72.0,John Nance Garner,,Democratic,Texas,15,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,73.0,Henry Thomas Rainey,,Democratic,Illinois,20,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,74.0,Jo Byrns,,Democratic,Tennessee,5,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,74.1,William B. Bankhead,,Democratic,Alabama,7,,,,,,,none
United States,1,legistrative,2,House of Representatives,Speaker,75.0,William B. Bankhead,,Democratic,Alabama,7,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,76.0,William B. Bankhead,,Democratic,Alabama,7,,,,,,,bachelor
United States,1,legistrative,2,House of Representatives,Speaker,76.0,Sam Rayburn,,Democratic,Texas,4,,,,,,,bachelor
