uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
633c0686-e41f-11ec-85a4-78ac4409ff3c,1654359458,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4k3/4P1p1/2N3p1/p1ppK1P1/b2p2BP/3P4/1p6/8 w - -,mC0Kgv5QfHWOHy!TltXHyr9IiyHzegZRpx8!bl45lAQBvBIBcuTZAG5PuBKBrJ7TnDZIjr6ZdNYQGAP5CKTUNU3UJvRJAl1TaeTKeK58K898xFZLvdIZoELSfe!9gnQInwZTeK80dvOGlfS1fl0KDKTZwD90EMZPvE18KS0RlvPyry8yvKykK1R0DKzr17rj7Q08S0ky,chess,88.24,2535,timeout,hansen,92.39,2804,win,levonaronian,C77,Ruy Lopez Opening Morphy Defense Anderssen Variation 5...b5 6.Bb3 Bc5 7.a4
59c9c8c2-e422-11ec-85a4-78ac4409ff3c,1654360327,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2qr1bk1/5p2/p1b1r1pp/4P3/1p1N3P/4BNQ1/PP3PP1/2R3K1 b - -,mCYIgv0Sks!TCKTJlBIBfAZRsB90eg8!dmWOfdXHAJSJbs6XcD98mt09vM2Utx3VMv7ZxwHzsm5QpFZLde47acRKBKJBcQXQmBL6ec8SDu,chess,90.61,2809,win,levonaronian,83.18,2584,resigned,platy3,B22,Alapin Sicilian Defense 2...e6 3.Nf3
674b17d9-e425-11ec-85a4-78ac4409ff3c,1654361632,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3N1rk1/p1p1Qppp/8/8/8/1B3P2/P4PKP/1q6 b - -,lBZJkAJAmC0Kgv9zclzlblKBfA7TlrBtdt5QCKTVeg!0fe6Lts8!vB!?BL0LrILBIXVDAJQKad48dBKvov8eseDBe0?!JrBjX7jbgobUohUbhobUohUbho,chess,90.91,2708,repetition,xxysoul6,90.59,2806,repetition,levonaronian,D20,Queens Gambit Accepted Central Variation McDonnell Defense...5.Bd2 Bxd2 6.Nbxd2 exd4 7.Bxc4
29a65012-e429-11ec-85a4-78ac4409ff3c,1654363529,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2r1r1k1/ppq3pp/3Nbp2/8/8/5Q1P/PP3PP1/3RR1K1 b - -,mC0Kgv!TvKZRKvTClBRJft9Reg8!kAYQfe6Ldr5OAJQJbsOztCJCsCLSrd46cM1TCISJMlRIBIztlG7GdtGIpx97adIYvBJ1tv78BL1SLR,chess,97.87,2813,win,levonaronian,91.87,2665,resigned,dropstonedp,C42,Petrovs Defense Classical Attack Marshall Variation Staunton Variation 9.Re1 Bf5
3a04f55a-e42c-11ec-85a4-78ac4409ff3c,1654364737,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/8/N1p5/3k1bp1/3P4/4K1P1/8/8 b - -,mC0Kgv5QfH!TegTClBCRBKRHiyZRKS1SyHQ0fe0UdB7ZbsSKBAYQHQXQvB6XBSRJS9?9AIZ0cu91I010uWX6WI4aea0Xjr6LaiUDIRDUnv8ZRIUDsyDSgnZYneSIyIXHIyJBemKCvCLCow2MksHrsBCtmntbijrjyjYRjybUnu3VyIULpFRJFMVMIO,chess,92.18,2679,agreed,champ2005,92.01,2809,agreed,levonaronian,C67,Ruy Lopez Opening Berlin lHermet Variation 6.dxe5 Nxb5 7.a4 d6 8.e6
3d9fee52-e42f-11ec-85a4-78ac4409ff3c,1654366013,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3rr1k1/8/8/2p1p1Q1/2P5/pb1N1P2/6P1/4R1K1 b - -,mCYIgvZRfA!Tlt5Qeg2Upx92bs8!cuQGArXPdlGrirRJCJTJuV6XV2!2fe1Tvp0KsJ7JnvJBghBjayXQyFUMFE3VxF48FMVMpfQZEC2UfuZSud9?hgjiCySryirikAirdjWGtBGyBK87lu?8uCU2CX29XPTKPT9!jtyqTM,chess,90.58,2817,win,levonaronian,80.06,2727,resigned,bigfish1995,B50,Sicilian Defense...3.Bc4 Nf6 4.d3 Nc6 5.O O
483eb6ca-e432-11ec-85a4-78ac4409ff3c,1654367298,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,R7/5p1k/1p6/1Qp5/2nPP1qp/7p/3r2P1/4R2K w - -,lBZJkAJAmC0Kgv9zbsKBvB5ZfA!Teg8!nvZKAm70cu97dcYIBkzsjsXPiy6SghSAmAKAuM3VkuAuMu7tyG47GPWPab0SfeTZuDZKckKAkr2MDwVNwY7ZY5NFpxtv5pvnpgnlbaMEa4!3rHExgBZBsBSE,chess,76.17,2757,resigned,fairchess_on_youtube,86.12,2825,win,levonaronian,D20,Queens Gambit Accepted Central Variation McDonnell Defense 4.Nf3 Bb4 5.Nc3 exd4 6.Nxd4
f6a06885-e435-11ec-85a4-78ac4409ff3c,1654368126,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r1b1kb1r/ppp2ppp/3q4/8/P2Q4/8/1PP2PPP/RNB2RK1 w kq -,mC0Kgv5QfH!TegTClBCRBKRHiyHBvBQBdBZJKR7RBCRSCBSRBCRSCBSR,chess,99.43,2838,repetition,hikaru,99.15,2825,repetition,levonaronian,C67,Ruy Lopez Opening Berlin lHermet Variation...11.Qe4 Qe6 12.Qd4 Qd6
e22e76ca-e438-11ec-85a4-78ac4409ff3c,1654370137,600,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/1k6/8/PK6/5B2/1b5P/8/8 w - -,mCYIgv0Sks!TCKTJlBIBfAJPAr5QsBZReg90bs8!cDRKBKQzdm7tmutuDu6ZiqzJrJPJsJSJvB96nD2Uad0IdlIPpx3NDLPBlBZLBJ6kfn46uWLSJ767nk!2Wu7JuDUMDMJKMDKCknSJgp2Upw1TnlJQDRNFwnULjrLSR5QJltXH5WCDngDCgfCKWnKMnFJofnoCtuMLnmSJFwLMmnMLneLvuvCvelJClsTLszvmzILDwemdIHdrqyCJyGJRelRYlDYX,chess,91.92,2821,agreed,levonaronian,91.26,2686,agreed,annawel,B22,Alapin Sicilian Defense 2...e6 3.Nf3
4181f623-e4f1-11ec-85a4-78ac4409ff3c,1654450013,600+2,rapid,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4k3/8/6QK/4P3/8/8/8/q7 b - -,mCYIgv0Sks!TCKTJfAJPArZRlBIBsB5Qeg90dm8!fd6ZbsQzsCZQiqQJrJzJcMRKBK3VM070ac46CR6cdc97pF7ZowZYcd0ZvBWOgoZymvP6BL6PdByQLuJunuPZvQYQR1QY17ZKwEYkowkjBCK17Sjrqy1RCKRASIAKIr2MFMVMyGKAwv!1vC1TCBAKrIKQBJQGuCT0CKGQIXQzJCzQXIOGCLQBLMBSIS0SMVGyEMyqMUqiU2i~2~S0!2082?80?T08TQ80QR08RU80UM08MU80UT08TU,chess,96.95,2817,repetition,levonaronian,97.02,2664,repetition,chesswarrior7197,B22,Alapin Sicilian Defense 2...e6 3.Nf3
