uuid,end_time,time_control,time_class,rated,initial_setup,fen,tcn,rules,white_accuracy,white_rating,white_result,white_username,black_accuracy,black_rating,black_result,black_username,opening,opening_name
b2c06328-352d-11e3-8000-000000010001,1525174025,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5k2/8/5KP1/8/8/8/8/8 w - -,lB!TkA0SgvYIbsIBvB9zow8!foZJAJTJdr5QBQXQeg70cl45rk6Ofezsls0IoC1LsKIkCk5XkrQIac96mCLCeCOtCutLue3Ned!3dlWGnvJPrdPJdmXPcAPziqzrgn6QmdrXdyQ6ydJPAFLUFDPJDAJPAcPZKsZPsGPJjzIAlBAsdrXHBA64ry4GzGHGyQskqy3VAkUkckJzkAzQAQGyQR2URSyiSmiGnoGOmnOTpxT1vDV2wENExE10ow01nv1ZDLZ1LU1vwv2UvDUTEMTUDEU2EL21MU12LM2!ML!2LM2!MN!2NM2!MT!9TL9!LT!9,chess,0.0,2738,timevsinsufficient,anishgiri,0.0,2720,timevsinsufficient,jospem,E10,Indian Game East Indian Anti Nimzo Indian Variation 3...c5
30d13a16-352f-11e3-8000-000000010001,1525174187,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r4rk1/pp2b1p1/4p2p/1Q2np1P/6n1/2N2q2/PPPB4/1K1R2R1 w - -,mCYQlBZJblJClC6LCwLUpF3Vgv5ZFNU3ft3tdt0Scl!Tec90cb8!wCQIoETEhg1LCsIBvBZKtm7BnvBnmHnv,chess,84.96,2712,resigned,jospem,96.26,2778,win,anishgiri,B18,Caro Kann Defense Classical Variation 5.Ng3 Bg6 6.h4 h6 7.Nf3
ccfb40da-352f-11e3-8000-000000010001,1525174584,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1bK5/8/8/8/8/8/6k1/8 w - -,mCYIbs5Qgv2UfH92eg0Kiq!0jzZRzIRIlt8!HA3VsJ0JAJ7RclQ0JA6SASRSluXPqy0QyGQGuI97IzGQzlPHdb45biSZfbHziO5POA76AJZJCJQ0aW0JWGPRbc1LpxKCveJsgfRStCSCGOUMls6scdsYd7!3ORY0et2s7Z0ZRZ3UZRU2RPVNnvCuPH2THPT1PVMEVN1TxELEvEzrNLT2krutLvtdfmdlmeszeflRvDzlDvlMfmRQvtQkmvkYtRY1vmM0RZ09Z121EM1UmtUMtAMErzEwzHwoHP9RPXRpAHp5HQ5pQZpwZ6wpX~p5,chess,0.0,2771,insufficient,anishgiri,0.0,2713,insufficient,jospem,B23,Closed Sicilian Defense Traditional Line 3.Nf3 g6 4.Bb5 Bg7 5.O O
4fd0cb1e-3531-11e3-8000-000000010001,1525174703,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,r2qkb1r/ppp2pp1/1n6/4p2p/1n1P1P2/2N1P1PP/PPb1N1B1/R1BQK2R w KQkq -,kA0Kow!TfoZJAJTJbsJPmu3Npx5Qgm6LnDQzlBLk,chess,70.01,2706,resigned,jospem,91.61,2801,win,anishgiri,A20,English Opening Kings English Variation...4.cxd5 Nxd5 5.Nc3 Nb6 6.e3
c375d6b2-3537-11e3-8000-000000010001,1525176380,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1r3r2/1p2Np1k/p2p1b1p/6p1/2P1B3/1P4P1/P2R1P1P/2R3K1 b - -,lB!Tgv2UkA92ow8!foZReg5Qbs45cD3VacWOjr6LBJQGvBLZdlUMDuYIJQGQfdQBuBZQmC7GsJGlJ0!3dlQCBT2ToC,chess,0.0,2814,win,anishgiri,0.0,2535,resigned,maitreia,E60,Kings Indian Defense 3.Nf3
45fe965a-3538-11e3-8000-000000010001,1525176674,180,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3r2k1/1p4pp/1p2b3/1P5P/2N1P1p1/1Q3B2/2R1PPK1/r2q4 w - -,kA0Kow!TfoZJAJTJbsJPgv5Qeg90abWGiq8!jzGzqz6LzHQBltBvov45cu7ZuPYPdy0IsCI0fcLSCl1TyC97pF0RFNTLCFR0Fy0MlAMcbc56ckKCtCZdgo64yr4awELE,chess,76.93,2532,resigned,maitreia,86.03,2825,win,anishgiri,A29,English Opening Four Knights Kingside Fianchetto Line...6.Bg2 Nb6 7.O O Be7
72102a80-35bd-11e3-8000-000000010001,1525205246,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,2N5/p1Rb1k1p/1r1r1pp1/3p2P1/P2N4/1P3PP1/7K/4R3 b - -,mCYIgv5QfH2UHQXQlBIBdB!TCKTJeg92kAJYBFYScl45ls8!blZJKR0RF797s2!2jrRJAJQJvKSBlvBmgh5PfemDvB6LacPOiyLSowDxhoxMnv1TcY2!KQ7RpFSxopxZQ0!1FMOP06,chess,90.36,2831,win,anishgiri,81.54,2403,resigned,josiwales,B31,Sicilian Defense Nyezhmetdinov Rossolimo Fianchetto Variation 4.Bxc6 bxc6 5.d4
8efa2d8c-35c0-11e3-8000-000000010001,1525206075,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/2p4R/2kp3P/4p3/1nP5/p1r5/4K3/8 w - -,mC0Kgv5QfA9Ilt!TblZReg8!ksWGpx3Vfe6SjrIWdkTNlf7TfpNDcDTDklDlvlSArAGyabWPpE1LCL9LlC4GEuPunuXPefLfgf!1fm1SoEQ0mlG4bf45CwPHAH5Hlk0Jfv2UwCyqsAHjkdJzvTSZTUjiU2ZQCsip23pxEMxuMVutdmts,chess,0.0,2513,resigned,justmig,0.0,2840,win,anishgiri,C50,Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6 5.Nbd2
fca85882-35c4-11e3-8000-000000010001,1525207321,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,8/6k1/8/2b1N3/2p1P1P1/2P2P2/3K4/8 b - -,mC0Kgv5QfHWOHyZReg6Zks2UlB92px3Vfe!0cu8!BKRKuI98blXPIqQWyZ7Zq080lA47AuZdad0ZdZ7ZgfW6uA1Tiy!1oE1SvFS1fm29Fv1SxFPHyHOHAl6PjrZ7ea74a4P4FNUMveYImt4Pek90ku09nvSRlfPZuLRQfuZPLwPZwfZPflPZlbZPbl90lf09fwPZuJQRwLRQJ0QY0!IArAZItmHA!VISV!SDmlYZ!TZST39INVS13M1!V3!?LVDUV1?23~U?1?2?M1?21K,chess,0.0,2854,win,anishgiri,0.0,2634,resigned,indianlad,C75,Ruy Lopez Opening Morphy Defense Modern Steinitz Defense 5.c3 Bd7 6.O O
1435101e-35c8-11e3-8000-000000010001,1525207897,180+2,blitz,True,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5b1k/1b3Bpp/p7/1p4B1/4N1PR/2Pn1q1K/PP5P/3R4 w - -,mC0Kgv5QfHWOHy!Teg90feXHyr8!ksZJCJTJvKQKeKYQlt0RKe7FowFxeCJTCFxLblTEdvLUvQEnQ4ntlCR0cMUPgo6Xr1!?4909adPnoxnLwELv,chess,78.1354459368547,2673,resigned,platy3,87.26204214104895,2869,win,anishgiri,C89,Ruy Lopez Opening Marshall Attack Modern Variation...13.Re1 Qh4 14.g3 Qh3 15.Re4
