symbol,displayName,industry,dateListed,marketCap,xid,priceChangeFiveDayPercent,isRecentListing
14D,1414 DEGREES LIMITED,Capital Goods,2018-09-12,12299127,486191506,-14.285714285714297,False
1ST,1ST GROUP LIMITED,Health Care Equipment & Services,2015-06-09,SUSPENDED,274180515,0.0,False
29M,29METALS LIMITED,Materials,2021-07-02,559180427,663303162,5.172413793103453,False
T3D,333D LIMITED,Commercial & Professional Services,2006-12-27,3189317,5947361,0.0,False
TCF,360 CAPITAL ENHANCED INCOME FUND,Not Applic,2006-10-17,21276849,5457157,-0.943396226415091,False
TGP,360 CAPITAL GROUP,Financial Services,2005-07-26,191748050,2524743,0.0,False
TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs),2015-04-22,110493951,86360650,-0.6493506493506499,False
3MF,3D METALFORGE LIMITED,Commercial & Professional Services,2021-03-02,SUSPENDED,636135750,0.0,False
TDO,3D OIL LIMITED,Energy,2007-05-22,15380926,7221947,5.882352941176476,False
3PL,3P LEARNING LIMITED..,Consumer Services,2014-07-09,334545846,76419072,0.0,False
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,2020-08-07,97182306,608309060,-9.999999999999993,False
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,2010-12-09,48976297,26906406,-3.225806451612906,False
5EA,5E ADVANCED MATERIALS INC.,Materials,2022-03-01,362023210,688676047,-3.9325842696629247,False
88E,88 ENERGY LIMITED,Energy,2000-01-20,201078682,230975,-9.090909090909085,False
8CO,8COMMON LIMITED,Software & Services,2014-08-27,18325473,77805543,-6.976744186046503,False
8IH,8I HOLDINGS LTD,Financial Services,2014-12-17,9291256,80536669,8.333333333333341,False
8VI,8VI HOLDINGS LIMITED,Consumer Services,2015-12-16,28819367,320037656,0.0,False
92E,92 ENERGY LIMITED,Energy,2021-04-15,32903742,648306270,7.462686567164168,False
ACB,A-CAP ENERGY LIMITED,Energy,2006-05-19,66551495,4721927,1.7241379310344842,False
AYI,A1 INVESTMENTS & RESOURCES LTD,Financial Services,2007-10-02,20527433,633104981,0.0,False
A2B,A2B AUSTRALIA LIMITED,Transportation,1999-12-14,157599888,69318,-0.9451795841209796,False
ABP,ABACUS PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),2002-11-14,2287763540,37039,0.7812500000000007,False
ABX,ABX GROUP LIMITED,Materials,2009-12-24,26830898,21420842,0.0,False
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,1977-06-01,42436629,142001,-2.985074626865674,False
AX8,ACCELERATE RESOURCES LIMITED,Materials,2018-02-14,8307239,445500473,0.0,False
AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,2004-07-07,1254084105,239745,3.2258064516129163,False
ACS,ACCENT RESOURCES NL,Materials,2005-08-26,11828182,2524742,0.0,False
ADC,ACDC METALS LTD,Materials,2023-01-17,9761193,769875791,8.333333333333341,True
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,2014-05-01,90412638,74285777,-0.966183574879228,False
ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,Capital Goods,2008-06-27,200371658,12134104,1.960784313725492,False
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2004-09-29,18375416,37940,-5.303030303030307,False
ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2007-10-16,123505146,8548581,-2.8985507246376834,False
ATV,ACTIVEPORT GROUP LTD,Software & Services,2021-10-20,36289906,676836288,4.1666666666666705,False
AIV,ACTIVEX LIMITED,Materials,2006-04-11,6480077,4293480,0.0,False
ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,2003-12-05,15490397,184709,1.9546180011006278e-14,False
ACE,ACUSENSUS LIMITED.,Software & Services,2023-01-12,78670784,774272382,1.3457248783335231e-14,True
AD1,AD1 HOLDINGS LIMITED,Media & Entertainment,2016-06-23,4905119,352938983,16.666666666666668,False
ADA,ADACEL TECHNOLOGIES LIMITED,Software & Services,1998-02-27,43082291,38338,2.7272727272727293,False
ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,2015-06-17,344292384,275023982,-3.658536585365841,False
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2016-08-22,9776654,359623659,3.225806451612906,False
ADD,ADAVALE RESOURCES LIMITED,Energy,1992-02-06,5714787,230107,8.333333333333341,False
ABC,ADBRI LIMITED,Materials,1962-05-31,1040940950,36575,-3.3434650455927013,False
ADG,ADELONG GOLD LIMITED,Materials,2007-03-21,5872045,6393494,9.999999999999993,False
ADR,ADHERIUM LIMITED,Health Care Equipment & Services,2015-08-26,14989315,296963794,0.0,False
ADY,ADMIRALTY RESOURCES NL.,Materials,1983-12-01,10428633,39160,0.0,False
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,2020-10-23,80005822,622595226,-6.976744186046505,False
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,2022-09-30,82266555,759771538,-3.7735849056603805,True
ADT,ADRIATIC METALS PLC,Materials,2018-05-01,1013295294,459442330,1.6348773841961868,False
ADS,ADSLOT LTD.,Software & Services,1987-12-17,13226090,222495,0.0,False
AVM,ADVANCE METALS LIMITED,Materials,2007-12-20,4656353,9354104,0.0,False
ANO,ADVANCE ZINCTEK LIMITED,Materials,2005-02-24,131043929,45841,5.000000000000004,False
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,2002-05-28,14786802,247217,5.128205128205133,False
AHI,ADVANCED HEALTH INTELLIGENCE LTD,Software & Services,2015-08-17,16860641,294783988,-2.4096385542168695,False
ASW,ADVANCED SHARE REGISTRY LIMITED,Financial Services,2008-06-10,25143011,11848740,0.0,False
AV1,ADVERITAS LIMITED,Software & Services,2012-12-18,33394112,51814018,-4.285714285714289,False
ADX,ADX ENERGY LTD,Energy,1987-01-29,24742372,39150,-14.285714285714286,False
AER,AEERIS LTD,Media & Entertainment,2015-04-01,8590063,268289400,0.0,False
AML,AEON METALS LIMITED.,Materials,2007-06-14,24431014,7128278,-15.384615384615387,False
