isin,priceAsk,priceClose,priceFiftyTwoWeekHigh,priceFiftyTwoWeekLow,volumeAverage,cashFlow,earningsPerShare,freeCashFlowYield,priceEarningsRatio,priceToCash,foreignExempt,shareDescription,numOfShares,yieldAnnual,incomeStatement,priceBid,priceDayHigh,priceDayLow,dateExDate,datePayDate,dateRecordDate,dividend,dividendType,frankingPercent
AU0000001ST0,,0.009000000000000001,0.012,0.003,,-4.13019,-0.01093,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1288173816.0,0.0,"[{'revenue': 4829060, 'netIncome': -6821940, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 5382650, 'netIncome': -6468710, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 4848910, 'netIncome': -5007040, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 3950800, 'netIncome': -4304090, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",,,,,,,,,
AU000000TOT4,0.765,0.765,0.96,0.74,92133.152174,0.064,-0.03161,-1.00000010000001e-05,-99999.99,-99999.99,False,Fully Paid Units Stapled Securities,144436537.0,7.84313725490196,"[{'revenue': 11451000, 'netIncome': 33725000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 15892000, 'netIncome': 9235000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 14982000, 'netIncome': 10429000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 8695000, 'netIncome': 7591000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.76,0.775,0.76,2023-03-30,2023-04-27,2023-03-31,0.015,I,0.0
AU00000088E2,0.011,0.01,0.036,0.007,36567363.633333,-57.53205,-0.00421,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,20107868225.0,0.0,"[{'revenue': 19260, 'netIncome': -70721920, 'period': '2022A', 'fPeriodEndDate': 44926, 'curCode': 'AUD'}, {'revenue': 1420, 'netIncome': -2410190, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'AUD'}, {'revenue': 5240, 'netIncome': -22033630, 'period': '2020A', 'fPeriodEndDate': 44196, 'curCode': 'AUD'}, {'revenue': 20550, 'netIncome': -36780460, 'period': '2019A', 'fPeriodEndDate': 43830, 'curCode': 'AUD'}]",0.01,0.0105,0.01,,,,,,
AU0000186207,0.87,0.8200000000000001,3.84,0.79,730814.891304,,,,,,False,Chess Depositary Interests 10:1,441491720.0,0.0,[],0.85,0.865,0.79,,,,,,
AU0000139941,0.37,0.355,0.935,0.315,166672.7,-13.03039,-0.14798,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,92686598.0,0.0,"[{'revenue': 198490, 'netIncome': -9418300, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 120, 'netIncome': -2701190, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -11250, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}]",0.36,0.37,0.355,,,,,,
AU000000ACB7,0.059000000000000004,0.054,0.16,0.0485,578941.483516,-6.38159,-0.00471,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1232435086.0,0.0,"[{'revenue': 0, 'netIncome': -5214620, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -633560, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -29052600, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -8700450, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.057,0.059000000000000004,0.0565,,,,,,
AU0000008IH1,0.035,0.026000000000000002,0.13,0.02,76095.127273,11.57603,-0.04588,-1.00000010000001e-05,-99999.99,-99999.99,False,Chess Depositary Interests 1:1,357355990.0,0.0,"[{'revenue': 24026910, 'netIncome': -4163180, 'period': '2022A', 'fPeriodEndDate': 44651, 'curCode': 'SGD'}, {'revenue': 32530300, 'netIncome': 7946620, 'period': '2021A', 'fPeriodEndDate': 44286, 'curCode': 'SGD'}, {'revenue': 9341010, 'netIncome': -3679180, 'period': '2020A', 'fPeriodEndDate': 43921, 'curCode': 'SGD'}, {'revenue': 18489690, 'netIncome': -9849440, 'period': '2019A', 'fPeriodEndDate': 43555, 'curCode': 'SGD'}]",0.023,,,2017-08-11,2017-09-01,2017-08-14,0.0023,F,0.0
AU0000008CO0,0.085,0.082,0.155,0.08,72895.722222,-3.01133,-0.01266,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,223481382.0,0.0,"[{'revenue': 4570870, 'netIncome': -2501090, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 3507800, 'netIncome': -1335590, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 3760080, 'netIncome': -804090, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 3475480, 'netIncome': -1356220, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.081,0.083,0.08,,,,,,
AU0000032187,1.31,1.3,1.49,0.955,54025.685393,-14.965,-0.14593,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,121230683.0,0.0,"[{'revenue': 126138000, 'netIncome': -28118000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 113373000, 'netIncome': -18274000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 170894000, 'netIncome': -23883000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 197943000, 'netIncome': 11822000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",1.26,1.31,1.295,2020-03-27,2020-04-30,2020-03-30,0.04,I,100.0
AU000000ABX3,0.12,0.12,0.2,0.1,168549.296296,-3.834,-0.03089,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,223590814.0,0.0,"[{'revenue': 556000, 'netIncome': -5868000, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'AUD'}, {'revenue': 3933000, 'netIncome': -594000, 'period': '2020A', 'fPeriodEndDate': 44196, 'curCode': 'AUD'}, {'revenue': 3037000, 'netIncome': -2476000, 'period': '2019A', 'fPeriodEndDate': 43830, 'curCode': 'AUD'}, {'revenue': 1041000, 'netIncome': -2374000, 'period': '2018A', 'fPeriodEndDate': 43465, 'curCode': 'AUD'}]",0.115,0.12,0.115,,,,,,
AU000000AYI6,0.001,0.001,0.002,0.001,237995.274194,-0.66006,-5e-05,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,20527433025.0,0.0,"[{'revenue': 108170, 'netIncome': -1003920, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 296680, 'netIncome': -1505100, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 435490, 'netIncome': -1143320, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 269110, 'netIncome': -2575680, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",,,,,,,,,
AU000000AKG9,0.34,0.32,0.465,0.245,67123.981481,7.317,-0.01575,0.09866476967202843,-99999.99,10.13533,False,Ordinary Fully Paid,132614467.0,0.0,"[{'revenue': 36042000, 'netIncome': -1302000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 42624000, 'netIncome': -1241000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 59694000, 'netIncome': 3604000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 66056000, 'netIncome': 4350000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.32,0.325,0.325,2021-03-04,2021-03-26,2021-03-05,0.005,I,100.0
AU0000026007,0.88,0.68,2.5,0.67,2304.777778,-1.1042,-0.13999,-1.00000010000001e-05,-99999.99,-99999.99,False,Chess Depositary Interests 1:1,42381422.0,0.0,"[{'revenue': 31353140, 'netIncome': 1985400, 'period': '2022A', 'fPeriodEndDate': 44651, 'curCode': 'SGD'}, {'revenue': 25960660, 'netIncome': 5861410, 'period': '2021A', 'fPeriodEndDate': 44286, 'curCode': 'SGD'}, {'revenue': 10859350, 'netIncome': 1072050, 'period': '2020A', 'fPeriodEndDate': 43921, 'curCode': 'SGD'}, {'revenue': 22291340, 'netIncome': -4867350, 'period': '2019A', 'fPeriodEndDate': 43555, 'curCode': 'SGD'}]",0.67,0.685,0.68,,,,,,
AU000000AX19,2.27,2.27,2.43,1.14,1086421.391304,152.973,0.13471,0.18824025480200893,16.85101,5.31236,False,Ordinary Fully Paid,552459958.0,7.142857142857142,"[{'revenue': 1130583000, 'netIncome': 31464000, 'period': '2022A', 'fPeriodEndDate': 44738, 'curCode': 'AUD'}, {'revenue': 993751000, 'netIncome': 76923000, 'period': '2021A', 'fPeriodEndDate': 44374, 'curCode': 'AUD'}, {'revenue': 831056000, 'netIncome': 55682000, 'period': '2020A', 'fPeriodEndDate': 44010, 'curCode': 'AUD'}, {'revenue': 796732000, 'netIncome': 53869000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",2.2,2.29,2.22,2023-02-28,2023-03-09,2023-03-01,0.12,I,100.0
AU000000AX84,0.024,0.022,0.073,0.02,964634.797297,-3.10113,-0.0073,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,377601756.0,0.0,"[{'revenue': 0, 'netIncome': -1221530, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -3374060, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -1505850, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -1715100, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.022,,,,,,,,
AU000000ACS1,0.05,0.025,0.06,0.025,1593.0,-3.66477,-0.00605,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,473127283.0,0.0,"[{'revenue': 3890, 'netIncome': -2261670, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 2650, 'netIncome': -2201450, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 55560, 'netIncome': -2019000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 12760, 'netIncome': -2758530, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.006,,,,,,,,
AU000000ACQ5,1.05,1.045,1.55,1.0,38446.593407,-9.065,-0.27306,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,86519271.0,8.292682926829269,"[{'revenue': 567000, 'netIncome': -16988000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 1115000, 'netIncome': 26848000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 1064000, 'netIncome': 2041000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 919000, 'netIncome': -567000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",1.025,1.05,1.02,2023-05-03,2023-05-24,2023-05-04,0.0425,I,100.0
AU0000171910,0.135,0.125,0.17,0.06,154373.934426,-8.09417,-0.02907,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,290319244.0,0.0,"[{'revenue': 10638550, 'netIncome': -6676170, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 425640, 'netIncome': -2679930, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -558570, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}]",0.125,0.125,0.125,,,,,,
AU000000ACW3,0.07,0.068,0.16,0.04,729606.630435,-8.59417,-0.00618,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1816252150.0,0.0,"[{'revenue': 41070, 'netIncome': -9497370, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 27090, 'netIncome': -3915070, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 94060, 'netIncome': -5330530, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 204550, 'netIncome': -9887680, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.068,0.068,0.067,,,,,,
AU000000ACR3,0.064,0.064,0.096,0.05,95668.32,-6.002,-0.02685,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,287115876.0,0.0,"[{'revenue': 5103000, 'netIncome': -9834000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 4792000, 'netIncome': -12629000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 3845000, 'netIncome': -9471000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 5286000, 'netIncome': -8325000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.061,0.065,0.061,2015-08-18,2015-09-03,2015-08-20,0.06,F,100.0
AU0000251811,0.14,0.135,0.205,0.12,,-99999.99,-99999.99,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,72305130.0,0.0,"[{'revenue': 0, 'netIncome': -216490, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}]",0.105,0.14,0.13,,,,,,
AU0000077604,0.07100000000000001,0.07100000000000001,0.145,0.06,74149.181818,0.483,-0.00422,0.09655445429836293,-99999.99,10.35685,False,Ordinary Fully Paid,218174605.0,0.0,"[{'revenue': 56908000, 'netIncome': 1445000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 44047000, 'netIncome': -9688000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 36666000, 'netIncome': -2555000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 41493000, 'netIncome': -15148000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.066,0.07100000000000001,0.066,2018-08-31,2018-09-19,2018-09-03,0.02,F,100.0
AU000000AIV2,0.033,0.03,0.057,0.023,61924.772727,-1.17226,-0.00586,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,216002577.0,0.0,"[{'revenue': 0, 'netIncome': -1933090, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 40, 'netIncome': -668530, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 50, 'netIncome': -1523580, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 20, 'netIncome': -785130, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.025,0.032,0.032,,,,,,
AU000000AD13,0.007,0.007,0.029,0.006,403073.285714,-3.58609,-0.01037,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,700731292.0,0.0,"[{'revenue': 5986390, 'netIncome': -2666230, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 5338590, 'netIncome': -2219600, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 3400950, 'netIncome': -2181160, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 1953590, 'netIncome': -4382110, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.006,,,,,,,,
AU0000259582,3.45,3.12,4.0,2.99,,-99999.99,-99999.99,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,25214995.0,0.0,"[{'revenue': 28729540, 'netIncome': 1425330, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 6746330, 'netIncome': -3648990, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 2396350, 'netIncome': -1255100, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}]",3.25,3.3000000000000003,3.25,,,,,,
AU0000248288,0.011,0.011,0.04,0.006,4591647.952941,-1.38484,-0.00174,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,533822292.0,0.0,"[{'revenue': 1370, 'netIncome': -726880, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 4540, 'netIncome': -692640, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 260, 'netIncome': -601470, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 710, 'netIncome': -923270, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.009000000000000001,0.011,0.01,,,,,,
AU000000ADH2,2.0,2.0,3.06,1.65,507408.391304,50.463,0.28543,0.3093504259755366,7.00697,3.23258,False,Ordinary Fully Paid,172146192.0,9.113924050632912,"[{'revenue': 564476000, 'netIncome': 44890000, 'period': '2022A', 'fPeriodEndDate': 44738, 'curCode': 'AUD'}, {'revenue': 499762000, 'netIncome': 63742000, 'period': '2021A', 'fPeriodEndDate': 44374, 'curCode': 'AUD'}, {'revenue': 388933000, 'netIncome': 35281000, 'period': '2020A', 'fPeriodEndDate': 44010, 'curCode': 'AUD'}, {'revenue': 344430000, 'netIncome': 29643000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",1.97,2.04,1.96,2023-03-20,2023-04-06,2023-03-21,0.08,I,100.0
AU0000001AD2,0.033,0.031,0.079,0.028,149558.847222,-4.58675,-0.01676,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,315375927.0,0.0,"[{'revenue': 2755220, 'netIncome': -6061020, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 3987320, 'netIncome': -5628360, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 3846880, 'netIncome': -6006460, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 3589570, 'netIncome': -5918190, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.028,0.032,0.032,,,,,,
AU000000ADA7,0.595,0.5650000000000001,1.195,0.54,36859.131868,-8.77652,0.04989,0.14503179096858032,11.32557,6.89504,False,Ordinary Fully Paid,76251842.0,8.4070796460177,"[{'revenue': 29191000, 'netIncome': 3262000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'USD'}, {'revenue': 31062000, 'netIncome': 5500000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'USD'}, {'revenue': 28200740, 'netIncome': 2490010, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'USD'}, {'revenue': 29090120, 'netIncome': -1847980, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'USD'}]",0.5650000000000001,0.595,0.5650000000000001,2023-02-27,2023-04-26,2023-02-28,0.015,I,0.0
