isin,priceAsk,priceClose,priceFiftyTwoWeekHigh,priceFiftyTwoWeekLow,volumeAverage,cashFlow,earningsPerShare,freeCashFlowYield,priceEarningsRatio,priceToCash,foreignExempt,shareDescription,numOfShares,yieldAnnual,incomeStatement,priceBid,priceDayHigh,priceDayLow,dateExDate,datePayDate,dateRecordDate,dividend,dividendType,frankingPercent
AU000000T3D6,0.001,0.001,0.003,0.001,1842570.918919,-0.46388,-0.00054,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,3189317303.0,0.0,"[{'revenue': 63680, 'netIncome': -1235030, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 114970, 'netIncome': -338790, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 186150, 'netIncome': -598090, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 430620, 'netIncome': 374440, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",,,,,,,,,
AU0000095416,0.33,0.33,0.88,0.31,327120.5,-14.54687,-0.10122,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,294491837.0,0.0,"[{'revenue': 1054300, 'netIncome': -24592880, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 216980, 'netIncome': -21420530, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 1232500, 'netIncome': -21975380, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 695000, 'netIncome': -6491010, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.32,0.33,0.31,,,,,,
AU0000130122,,0.013000000000000001,0.052,0.011,,-6.61752,-0.03063,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,240839445.0,0.0,"[{'revenue': 1300600, 'netIncome': -5140480, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'AUD'}, {'revenue': 0, 'netIncome': -470310, 'period': '2020A', 'fPeriodEndDate': 44196, 'curCode': 'AUD'}]",,,,,,,,,
AU0000004DS8,0.031,0.03,0.1325,0.022,9081875.902174,-4.94623,-0.00443,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,1632543220.0,0.0,"[{'revenue': 28100, 'netIncome': -6732080, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 6830, 'netIncome': -6657840, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 33510, 'netIncome': -5469280, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 17770, 'netIncome': -5782670, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.029,0.031,0.03,,,,,,
AU0000010696,0.064,0.06,0.12,0.057,82754.144444,-5.21329,0.00549,0.1184710598894902,10.92896,8.44088,False,Ordinary Fully Paid,204985458.0,0.0,"[{'revenue': 566610, 'netIncome': -1369310, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 486550, 'netIncome': -5974180, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 411050, 'netIncome': -2865960, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 298820, 'netIncome': -4270820, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.061,0.06,0.057,,,,,,
AU0000157067,1.25,1.16,3.35,1.08,1121354.043478,42.079,-0.09882,0.029688090978561045,-99999.99,33.68354,False,Ordinary Fully Paid,482052092.0,0.0,"[{'revenue': 720688000, 'netIncome': -47222000, 'period': '2022A', 'fPeriodEndDate': 44926, 'curCode': 'AUD'}, {'revenue': 600762000, 'netIncome': 121013000, 'period': '2021A', 'fPeriodEndDate': 44561, 'curCode': 'AUD'}, {'revenue': 434451000, 'netIncome': 83694000, 'period': '2020A', 'fPeriodEndDate': 44196, 'curCode': 'AUD'}, {'revenue': 473418000, 'netIncome': 126152000, 'period': '2019A', 'fPeriodEndDate': 43830, 'curCode': 'AUD'}]",1.21,1.25,1.155,2022-09-15,2022-10-14,2022-09-16,0.02,I,100.0
AU000000TDO8,0.056,0.058,0.073,0.042,189435.9,-1.71893,-0.00432,-1.00000010000001e-05,-99999.99,-99999.99,False,Ordinary Fully Paid,265188372.0,0.0,"[{'revenue': 470, 'netIncome': -1147180, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 4570, 'netIncome': -1142100, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 9410, 'netIncome': -3006070, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 43630, 'netIncome': -1089250, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.051000000000000004,0.058,0.051000000000000004,,,,,,
AU0000108771,5.25,5.15,5.88,4.9,4142.238095,0.003,0.363,-1.00000010000001e-05,14.18733,-99999.99,False,Units Fully Paid,4131427.0,7.142857142857142,"[{'revenue': 1587000, 'netIncome': 1378000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 416000, 'netIncome': 459000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 643370, 'netIncome': 756710, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 847500, 'netIncome': 1255880, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",5.0200000000000005,5.25,5.25,2023-03-30,2023-04-06,2023-03-31,0.035,I,0.0
AU0000003PL9,1.29,1.21,1.75,1.165,22842.326087,3.538,0.01592,0.043509739220027016,76.00503,22.98336,False,Ordinary Fully Paid,276484170.0,0.0,"[{'revenue': 97288000, 'netIncome': -536000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 57563000, 'netIncome': -9369000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 55225000, 'netIncome': 517000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 54682000, 'netIncome': 5911000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",1.25,1.25,1.2,2015-10-06,2015-10-22,2015-10-08,0.018,F,100.0
AU000000TGP8,0.8,0.79,1.04,0.75,58891.181818,-18.036,0.02484,0.028965088957581212,31.80354,34.52432,False,Fully Paid Ordinary/units Stapled Securities,242719051.0,6.687898089171974,"[{'revenue': 8652000, 'netIncome': 31671000, 'period': '2022A', 'fPeriodEndDate': 44742, 'curCode': 'AUD'}, {'revenue': 15472000, 'netIncome': 5290000, 'period': '2021A', 'fPeriodEndDate': 44377, 'curCode': 'AUD'}, {'revenue': 6680000, 'netIncome': 1345000, 'period': '2020A', 'fPeriodEndDate': 44012, 'curCode': 'AUD'}, {'revenue': 9056000, 'netIncome': 1594000, 'period': '2019A', 'fPeriodEndDate': 43646, 'curCode': 'AUD'}]",0.785,0.81,0.785,2022-12-29,2023-01-25,2022-12-30,0.0225,I,0.0
